,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,ring,Corr,0.0017,1.5,0.005657723421714141,50.0,-1.0,-1.0,10.0
1,ring,Corr,0.0017,1.5,0.0057468177580513565,50.54867089463525,4.028908091982479,126.0,0.24107424711055903
2,ring,Corr,0.0017,1.5,0.005664096901042394,50.03931153942062,5.036135114978098,82.0,0.10366324100588432
3,ring,Corr,0.0017,1.5,0.005719523477901666,50.38078044263578,5.539748626475909,72.0,0.07932422360511358
4,ring,Corr,0.0017,1.5,0.005667432358803903,50.05988078704428,6.043362137973718,66.0,0.06682743288795746
5,ring,Corr,0.0017,1.5,0.005679754997334254,50.135849899282945,8.057816183964958,49.0,0.040722089414995576
6,ring,Corr,0.0017,1.5,0.005740451519112907,50.509526773674736,9.065043206960578,43.0,0.03615204278544757
7,ring,Corr,0.0017,1.5,0.005696539136132165,50.239266924512094,9.568656718458387,41.0,0.034202328174049994
8,ring,Corr,0.0017,1.5,0.005680669629015811,50.141487186123896,10.072270229956196,39.0,0.03315565229745643
9,ring,Corr,0.0017,1.5,0.0057308818185652305,50.45066791310816,11.079497252951818,35.0,0.029355826943936698
