,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,ring,Corr,0.0017,1.5,0.0008810104235622403,15.0,-1.0,-1.0,10.0
1,ring,Corr,0.0017,1.5,0.0009587706558352537,15.786930998513624,11.486037132460838,219.0,0.7860472020811903
2,ring,Corr,0.0017,1.5,0.0009618965919194837,15.818120423185048,12.762263480512043,188.0,0.5860573062912903
3,ring,Corr,0.0017,1.5,0.000941150170180145,15.610497681775662,14.038489828563247,172.0,0.4814893693295268
4,ring,Corr,0.0017,1.5,0.00093831963998904,15.582055846857301,15.314716176614452,157.0,0.4048284948488813
5,ring,Corr,0.0017,1.5,0.0009611915769556242,15.81108892361898,16.590942524665657,141.0,0.3667364458617234
6,ring,Corr,0.0017,1.5,0.0008918671604330987,15.111197358598808,17.86716887271686,141.0,0.359370022203751
7,ring,Corr,0.0017,1.5,0.0009302420517282361,15.500736061026231,19.143395220768063,126.0,0.30517063355973395
8,ring,Corr,0.0017,1.5,0.0009303511017829229,15.501835434728537,20.41962156881927,118.0,0.293925327655374
9,ring,Corr,0.0017,1.5,0.0009382411649307465,15.58126691296605,21.695847916870473,110.0,0.2589967955032669
10,ring,Corr,0.0017,1.5,0.0009790180358784275,15.988372846431535,24.248300612972884,94.0,0.2500098195334
11,ring,Corr,0.0017,1.5,0.0009657779604003427,15.856801536390654,29.3532060051777,78.0,0.23783814516031976
