gamma,c_clip,sigma_cdp,sigma_cor,eps,loss_cdp,loss_cor
1e-06,1.0,-1.0,-1.0,-1.0,10.0,10.0
0.00038535285937105315,13.0,139.97500145760972,97.0,0.010093879992384746,0.007699356716263351,0.2241799394905839
0.0004229242874389499,10.0,92.67384329187328,97.0,0.01003776413592316,0.007216228493440917,0.23146015935277342
0.0004229242874389499,10.0,96.42365197998376,91.0,0.010070552628359323,0.0074663868890381,0.24259701440725215
0.0004229242874389499,10.0,111.42288673242568,70.0,0.010031789988861742,0.006191639260575298,0.17449861805104744
0.0004641588833612782,9.0,81.15657374981966,91.0,0.010017036067647488,0.006515437696744861,0.17649885937673085
0.0004641588833612782,9.0,82.28151635625281,89.0,0.010040158452404996,0.007320552454137714,0.13657385892000626
0.000509413801481638,10.0,92.67384329187328,97.0,0.01003776413592316,0.005093930663231019,0.1339329597270015
0.0005590810182512228,7.0,60.496913501515735,76.0,0.009901895731819342,0.008521458930817778,0.12210419360306937
0.0005590810182512228,8.0,62.139686831545085,99.0,0.009926061596001129,0.009663162232508876,0.08899335383370166
0.0005590810182512228,8.0,71.13922768301023,82.0,0.010065126816835931,0.00988836130041444,0.11496605901227468
0.0005590810182512228,8.0,74.13907463349862,78.0,0.00999579264977498,0.009646306512835425,0.10150278055729352
0.0005590810182512228,9.0,80.03163114338652,94.0,0.009906722202904089,0.006924185278408894,0.08317595737009775
0.0006135907273413176,7.0,56.122136698720176,82.0,0.010073972404236386,0.0028846513938027636,0.10131930988162938
0.0006135907273413176,7.0,56.99709205927928,82.0,0.009903030590649002,0.005594562817182309,0.09153773054194148
0.0006135907273413176,8.0,69.13932971601798,85.0,0.01008781644684521,0.006761862546856455,0.07601298007487223
0.0006734150657750829,7.0,48.247538453688165,99.0,0.009966907030140516,0.005997564131519,0.06885440918240715
0.0006734150657750829,7.0,50.872404535365504,92.0,0.010090920439071381,0.004568135122066777,0.08586133734479583
0.0006734150657750829,7.0,52.62231525648372,89.0,0.010033256622928508,0.0032737868138672304,0.0704846145620318
0.0006734150657750829,7.0,54.37222597760195,85.0,0.01009836422459527,0.007500835385104662,0.06628364527752263
0.0007390722033525783,6.0,39.105147747437854,90.0,0.009995664595779072,0.0039013905867401446,0.07262864782707489
0.0007390722033525783,6.0,42.10499469792624,82.0,0.010099360862794893,0.006146878310487974,0.05380662743390768
0.0009770099572992256,4.0,22.070302564307394,72.0,0.009952617231052795,0.0037864808412610275,0.05476215958733345
0.0010722672220103242,4.0,24.570175023047714,64.0,0.00999250835067721,0.0027694566735039614,0.05025800881634846
0.0010722672220103242,4.0,25.57012400654384,61.0,0.010039727932940508,0.0014451643242774414,0.047059699063587423
0.0010722672220103242,4.0,32.06979239926867,47.0,0.010046549229392484,0.0023766926779182594,0.048577481803737124
0.0011768119524349992,4.0,20.07040459731514,79.0,0.01001061839141182,0.001618319461328297,0.05422139321395981
0.0011768119524349992,4.0,20.570379089063202,77.0,0.010012598835347733,0.0023550171332362185,0.06004146869812731
0.0011768119524349992,4.0,22.570277056055456,70.0,0.009998004889095025,0.005392406121795265,0.06497415382287348
0.0011768119524349992,4.0,23.070251547803522,69.0,0.0099136377912372,0.0027473908848659983,0.05543730250493328
0.0011768119524349992,4.0,24.070200531299648,66.0,0.009908166853459823,0.0036494366605541277,0.05859015963106249
0.0011768119524349992,4.0,25.57012400654384,61.0,0.010039727932940508,0.002651333840258934,0.06264943618916412
0.0011768119524349992,4.0,26.070098498291905,60.0,0.009995664595779075,0.0044344727986266805,0.05893935472012411
0.0011768119524349992,4.0,27.07004748178803,57.0,0.01008892444846066,0.00526354288055643,0.053182825098356444
0.0011768119524349992,4.0,29.56991994052835,52.0,0.01000888069236976,0.008779335160074384,0.045522156111680326
0.001291549665014884,3.0,20.67751648015207,42.0,0.01006282722386511,0.005278626526604744,0.052814310046433346
0.0014174741629268063,3.0,15.4277843167974,58.0,0.009970192864270302,0.0017741976112304303,0.052024710002755964
0.0014174741629268063,3.0,16.552726923230544,54.0,0.009952617231052802,0.0006086305798360856,0.05121995345637048
0.0014174741629268063,3.0,16.92770779204159,52.0,0.01009166990634314,0.0007201445354891076,0.049017051902047304
0.0014174741629268063,3.0,18.052650398474736,49.0,0.010005968596574051,0.0010722140990242072,0.049493394066773985
0.0014174741629268063,3.0,19.17759300490788,46.0,0.009987442329461405,0.0010762003847919616,0.04646462804358687
0.0014174741629268063,3.0,21.05249734896312,41.0,0.010099360862794893,0.0034673953203428302,0.04322250840369658
0.001873817422860385,2.0,10.285189544531601,38.0,0.010141989053514149,0.00048241099973596487,0.04179695374865748
0.001873817422860385,2.0,12.035100265649824,33.0,0.009908166853459823,0.0005912445446463586,0.03744518934951011
0.001873817422860385,2.0,13.285036495019984,29.0,0.010120347256120859,0.0012200653922413557,0.03269600078156087
0.0035938136638046293,1.0,4.892607526391768,20.0,0.010143903055889095,0.0003303932965763767,0.033628607198059005
0.0035938136638046293,1.0,6.017550132824912,16.0,0.010207376737848856,0.00031846091551522316,0.034351066786305076
0.0035938136638046293,1.0,7.1424927392580555,13.0,0.010385046414080223,0.001463485864034194,0.03071317807884512
0.0035938136638046293,1.0,7.392479985132088,13.0,0.01000888069236976,0.0015013763246622043,0.03472210783671896
0.00394420605943766,1.0,5.1425947722658005,19.0,0.010141989053514149,0.0004402978306527329,0.03713070832280297
0.00394420605943766,1.0,5.517575641076848,18.0,0.009952617231052795,0.000342193619732068,0.040914995966663335
0.00394420605943766,1.0,5.642569264013864,17.0,0.01028429161150116,0.0007032886549311602,0.034622569625813275
0.00394420605943766,1.0,5.767562886950881,17.0,0.010055377473244455,0.0003514057409888137,0.039916438945909724
0.00394420605943766,1.0,5.892556509887896,16.0,0.01043122288619312,0.0004443243020064058,0.03981286522650167
0.00394420605943766,1.0,6.017550132824912,16.0,0.010207376737848856,0.0005127602107358012,0.03446236475035644
0.00394420605943766,1.0,6.1425437557619285,16.0,0.00999250835067721,0.0008428248346968399,0.037920467623090925
0.00394420605943766,1.0,6.517524624572976,15.0,0.009995664595779075,0.0012601183083669578,0.03690223105982341
0.00394420605943766,1.0,6.642518247509992,14.0,0.010462845284628052,0.0009100890820832935,0.03741514364878762
0.00394420605943766,1.0,6.767511870447008,14.0,0.010259222743734133,0.00034576309330083984,0.03731270278792367
0.00394420605943766,1.0,6.892505493384024,14.0,0.010062827223865114,0.0010507837377568953,0.037852232779471286
0.00394420605943766,1.0,7.01749911632104,13.0,0.010582911622952931,0.0008044314055992932,0.038756247061640325
0.00394420605943766,1.0,7.1424927392580555,13.0,0.010385046414080223,0.0010953391593899221,0.04036977820522614
0.00394420605943766,1.0,7.267486362195072,13.0,0.010193814219106688,0.0017118786553947992,0.05259041988290386
0.00394420605943766,1.0,7.392479985132088,13.0,0.01000888069236976,0.0019202039695053344,0.04639165487489752
0.00394420605943766,1.0,8.017448099817168,11.0,0.010653513110707724,0.0007352170108560054,0.038119949552632135
0.00394420605943766,1.0,8.392428968628217,11.0,0.010120869823204013,0.0010549453502312742,0.046959461425396545
0.00394420605943766,1.0,8.517422591565232,11.0,0.00995339128479688,0.001971970656914558,0.06207490911224273
0.00394420605943766,1.0,8.642416214502248,10.0,0.010621580749808028,0.0014720769376651824,0.04650113791766172
0.00394420605943766,1.0,8.89240346037628,10.0,0.010275646499860845,0.0028005162794361017,0.043470004914266794
0.00394420605943766,1.0,9.017397083313295,10.0,0.01010961931589464,0.003905962106128143,0.0462270919710053
0.00394420605943766,1.0,9.892352443872408,8.0,0.01074769948286084,0.006938628738791961,0.03316466372305671
0.004328761281083062,1.0,7.1424927392580555,13.0,0.010385046414080223,0.0005694933827786393,0.04315145455356137
0.004328761281083062,1.0,7.267486362195072,13.0,0.010193814219106688,0.0003713004281714337,0.0380972682015336
