,gamma,c_clip,eps_iter,eps,sigma_cdp,sigma_cor,loss_cdp,loss_cor
0,0.004,1,0.002055690988311894,15.0,-1.0,-1.0,10.0,10.0
1,0.004,1,0.002076854967272123,15.092930744231161,4.455926738165105,141.0,0.00016843339508521108,1.9266903635477002
2,0.004,1,0.0021311163262205165,15.329782109629372,5.012917580435743,102.0,0.00042558648039270905,0.9831626039248018
3,0.004,1,0.002153762398959386,15.428046428994824,5.569908422706382,86.0,0.0009072147698799713,0.6205261319395963
4,0.004,1,0.0021185214716752904,15.27498348698332,6.12689926497702,78.0,0.0003431738534487361,0.4734000243399216
5,0.004,1,0.0021444187749497367,15.387544361711926,6.683890107247658,70.0,0.0006849164145638699,0.40955603144734953
6,0.004,1,0.0020619382297959,15.027464182636226,9.468844318600848,51.0,0.002259634968522034,0.253177569759301
7,0.004,1,0.0020854713656439,15.130675892496537,10.582826003142124,45.0,0.005257233621056747,0.2455158016196044
8,0.004,1,0.0020703335691618957,15.064328741855125,11.139816845412764,43.0,0.00497327614636257,0.24195123258020523
9,0.004,1,0.0020643094122584577,15.037881220214786,11.6968076876834,41.0,0.002275939200403495,0.2169923030312781
