,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,centralized,Corr,1e-05,1.0,0.003720956772344013,30.0,-1.0,-1.0,inf
1,centralized,Corr,1e-05,1.0,0.003757574656889038,30.193137817706372,6.1508474746496224,16.0,9.854002151314258
2,centralized,Corr,1e-05,1.0,0.003752516427871471,30.166488191707753,6.505704059725563,12.0,9.85217477997971
3,centralized,Corr,1e-05,1.0,0.004336088536165755,33.18324354565516,15.377118686624055,4.0,9.83933247549912
4,centralized,Corr,1e-05,1.5,0.0037575746568890536,30.193137817706454,9.226271211974433,24.0,9.7822494136168
5,centralized,Corr,1e-05,1.5,0.003914394131991509,31.014769534952705,13.48455023288571,10.0,9.778974376015132
6,centralized,Corr,1e-05,1.5,0.004250891381433301,32.74965952119558,16.67825949856917,8.0,9.777943730377348
7,centralized,Corr,1e-05,1.5,0.004145049935669402,32.20791059101055,17.21054437618308,8.0,9.765230295063816
8,centralized,Corr,1e-05,1.5,0.0038329574694835385,30.589191063259896,25.727102418005632,6.0,9.754205794834343
9,centralized,Corr,1e-05,2.0,0.003757574656889038,30.193137817706372,12.301694949299245,32.0,9.719505556202913
10,centralized,Corr,1e-05,2.0,0.003832957469483539,30.589191063259896,34.30280322400751,8.0,9.707837403728412
11,centralized,Corr,1e-05,2.5,0.003780906382690231,30.315940938363603,15.377118686624057,39.0,9.654199932242069
12,centralized,Corr,1e-05,2.5,0.004009228839710075,31.507474069912206,27.797099164281953,14.0,9.640396433883849
13,centralized,Corr,1e-05,2.5,0.003792902570148621,30.379003680869257,36.668513791180445,12.0,9.633839545818711
14,centralized,Corr,1e-05,2.5,0.003741388090635244,30.107824522256003,43.76564549269924,10.0,9.607677488604867
15,centralized,Corr,1e-05,2.5,0.003768207383985833,30.24912637033136,57.07276743304698,2.0,9.604479880420666
16,centralized,Corr,1e-05,3.0,0.0037979499238605554,30.40552147423255,19.517112179176685,35.0,9.60147175583708
17,centralized,Corr,1e-05,3.0,0.003857252603561894,30.716399343858676,37.61479801804961,16.0,9.594996306604395
18,centralized,Corr,1e-05,3.0,0.0037483442578245107,30.14449972330305,57.84162336737818,10.0,9.511112030896394
19,centralized,Corr,1e-05,3.5,0.0038329574694835377,30.589191063259896,60.02990564201315,14.0,9.490938390686832
20,centralized,Corr,1e-05,3.5,0.003732327772919214,30.060028645496992,74.93388221520262,8.0,9.45993189434308
21,centralized,Corr,1e-05,4.0,0.003880464783118391,30.837742054274187,54.41134304497743,20.0,9.45545785849825
22,centralized,Corr,1e-05,4.0,0.003761967006688252,30.21627156917935,79.96101717044509,12.0,9.42026242243576
23,centralized,Corr,2.782559402207126e-05,1.5,0.003779857326960509,30.31042366558527,14.01683511049962,10.0,9.408428826439625
24,centralized,Corr,2.782559402207126e-05,1.5,0.0040445257296606975,31.690082423081286,17.742829253796987,8.0,9.385256167970924
25,centralized,Corr,2.782559402207126e-05,1.5,0.0038329574694835385,30.589191063259896,25.727102418005632,6.0,9.349020248823331
26,centralized,Corr,2.782559402207126e-05,1.5,0.0036754076592262555,29.75905497824094,34.775945337442096,1.0,9.346344980812574
27,centralized,Corr,2.782559402207126e-05,2.0,0.003757574656889038,30.193137817706372,12.301694949299245,32.0,9.294545778357856
28,centralized,Corr,2.782559402207126e-05,2.0,0.003752516427871471,30.166488191707753,13.011408119451126,24.0,9.202670723244283
29,centralized,Corr,2.782559402207126e-05,2.0,0.004063318326393206,31.78713790986602,25.786245182184956,10.0,9.192766881165484
30,centralized,Corr,2.782559402207126e-05,2.0,0.0037303731164354263,30.049713248825945,45.658213946437584,2.0,9.125879621813867
31,centralized,Corr,2.782559402207126e-05,2.5,0.003780906382690231,30.315940938363603,15.377118686624057,39.0,9.108312628881464
32,centralized,Corr,2.782559402207126e-05,2.5,0.0037525164278714605,30.1664881917077,16.264260149313905,30.0,9.105559366223337
33,centralized,Corr,2.782559402207126e-05,2.5,0.003911246313747508,30.99836255138697,20.699967462763155,18.0,9.092652927038085
34,centralized,Corr,2.782559402207126e-05,2.5,0.003750604218565207,30.156411127730564,21.587108925453002,18.0,9.06818741980517
35,centralized,Corr,2.782559402207126e-05,2.5,0.004009228839710075,31.507474069912206,27.797099164281953,14.0,9.05683715642607
36,centralized,Corr,2.782559402207126e-05,2.5,0.0037258650041077845,30.025916959199858,30.4585235523515,14.0,9.00049992560858
37,centralized,Corr,2.782559402207126e-05,3.0,0.0037768948902994013,30.2948412264588,18.452542423948866,47.0,8.906608419920305
38,centralized,Corr,2.782559402207126e-05,3.0,0.0037979499238605554,30.40552147423255,19.517112179176685,35.0,8.896551906078427
39,centralized,Corr,2.782559402207126e-05,3.0,0.0038934960328595503,30.90578051864655,31.2273794866827,18.0,8.85344566272205
40,centralized,Corr,2.782559402207126e-05,3.0,0.003857252603561894,30.716399343858676,37.61479801804961,16.0,8.838035150693447
41,centralized,Corr,2.782559402207126e-05,3.0,0.0037696117657682747,30.256518293852487,38.679367773277434,16.0,8.746830457027558
42,centralized,Corr,2.782559402207126e-05,3.0,0.00385513449417891,30.705317358950744,61.035332633061635,8.0,8.710340079603574
43,centralized,Corr,2.782559402207126e-05,3.5,0.0037941590639611147,30.385605913799573,24.01196225680526,35.0,8.692799895281906
44,centralized,Corr,2.782559402207126e-05,3.5,0.003910460413452992,30.99426576463555,33.94794663893157,22.0,8.650943779376362
45,centralized,Corr,2.782559402207126e-05,3.5,0.0037241730401805133,30.016983889898263,41.39993492552631,20.0,8.610898547087784
46,centralized,Corr,2.782559402207126e-05,3.5,0.003927395224414337,31.08249720563562,58.78790759424736,14.0,8.504591187333299
47,centralized,Corr,7.742636826811278e-05,1.5,0.0037575746568890536,30.193137817706454,9.226271211974433,24.0,8.375168533998728
48,centralized,Corr,7.742636826811278e-05,1.5,0.004250891381433301,32.74965952119558,16.67825949856917,8.0,8.349017755338952
49,centralized,Corr,7.742636826811278e-05,1.5,0.0038329574694835385,30.589191063259896,25.727102418005632,6.0,8.226318063689947
50,centralized,Corr,7.742636826811278e-05,1.5,0.003965012925925715,31.278135110856873,29.98538143891691,4.0,8.168110649053292
51,centralized,Corr,7.742636826811278e-05,2.0,0.003757574656889038,30.193137817706372,12.301694949299245,32.0,8.013961577786434
52,centralized,Corr,7.742636826811278e-05,2.0,0.003752516427871471,30.166488191707753,13.011408119451126,24.0,8.011271604449002
53,centralized,Corr,7.742636826811278e-05,2.0,0.004005752452821237,31.48946656155781,20.10853982096992,12.0,7.965470947042048
54,centralized,Corr,7.742636826811278e-05,2.0,0.003893496032859549,30.905780518646544,20.8182529911218,12.0,7.857042054731116
55,centralized,Corr,7.742636826811278e-05,2.0,0.004160114830400005,32.285234407011004,25.076532012033077,10.0,7.781180615920774
56,centralized,Corr,7.742636826811278e-05,2.0,0.003832957469483539,30.589191063259896,34.30280322400751,8.0,7.761875875611994
57,centralized,Corr,7.742636826811278e-05,2.0,0.0038620822247991907,30.741662066991765,42.81936126583007,4.0,7.6650831414315554
58,centralized,Corr,7.742636826811278e-05,2.0,0.0038456931644684686,30.655900802208464,44.948500776285705,2.0,7.551042890277487
59,centralized,Corr,7.742636826811278e-05,2.5,0.003750604218565207,30.156411127730564,21.587108925453002,18.0,7.527031351414663
60,centralized,Corr,7.742636826811278e-05,2.5,0.003792902570148621,30.379003680869257,36.668513791180445,12.0,7.302812067720575
61,centralized,Corr,7.742636826811278e-05,2.5,0.0037917013162120975,30.372691169199086,55.29848450766728,4.0,7.059400418515315
62,centralized,Corr,7.742636826811278e-05,3.0,0.003779857326960509,30.31042366558527,28.03367022099924,20.0,7.006418926089271
63,centralized,Corr,7.742636826811278e-05,3.0,0.003948753600459608,31.1936348395826,36.55022826282179,16.0,6.994307576580528
64,centralized,Corr,7.742636826811278e-05,3.0,0.003862082224799191,30.741662066991765,64.2290418987451,6.0,6.435197825421943
65,centralized,Corr,7.742636826811278e-05,3.5,0.0038405397317104674,30.62891401861653,73.69188416743683,8.0,6.395243438733268
66,centralized,Corr,7.742636826811278e-05,3.5,0.003812187002044076,30.480270562194463,78.65987635849999,4.0,5.9161106146389235
67,centralized,Corr,7.742636826811278e-05,4.0,0.003874131491127112,30.804653314281335,61.50847474649622,18.0,5.915316470091367
68,centralized,Corr,0.00021544346900318823,1.5,0.0040445257296606975,31.690082423081286,17.742829253796987,8.0,5.862466606561849
69,centralized,Corr,0.00021544346900318823,1.5,0.004125313354954925,32.106499115049516,24.130247785163903,6.0,5.608668318585827
70,centralized,Corr,0.00021544346900318823,2.0,0.003757574656889038,30.193137817706372,12.301694949299245,32.0,4.996446856940217
71,centralized,Corr,0.00021544346900318823,2.0,0.003791857435871838,30.373511597539128,14.430834459754884,18.0,4.9787534830574645
72,centralized,Corr,0.00021544346900318823,2.0,0.004160114830400005,32.285234407011004,25.076532012033077,10.0,4.881320095103953
73,centralized,Corr,0.00021544346900318823,2.0,0.0040248090966230245,31.588129482014608,32.883376883703754,8.0,4.570672667325756
74,centralized,Corr,0.00021544346900318823,2.0,0.0038620822247991907,30.741662066991765,42.81936126583007,4.0,4.546512672531072
75,centralized,Corr,0.00021544346900318823,2.5,0.003780906382690231,30.315940938363603,15.377118686624057,39.0,4.345626844659162
76,centralized,Corr,0.00021544346900318823,2.5,0.0037525164278714605,30.1664881917077,16.264260149313905,30.0,3.9627034346654733
77,centralized,Corr,0.00021544346900318823,2.5,0.003940790889641508,31.152219425890202,47.31421134345864,8.0,3.128091366600085
78,centralized,Corr,0.00021544346900318823,3.0,0.003999003557705488,31.45449607653468,42.93764679418871,14.0,3.0868310875179317
79,centralized,Corr,0.00021544346900318823,3.0,0.0037343150303852193,30.07051463168844,46.13135605987217,14.0,2.7365842156031186
80,centralized,Corr,0.00021544346900318823,3.0,0.00375098931566878,30.15844064182287,65.29361165397292,6.0,2.5788865794730262
81,centralized,Corr,0.00021544346900318823,3.5,0.003913221216399318,31.008656493514195,38.91593882999473,20.0,2.363721221212181
82,centralized,Corr,0.00021544346900318823,3.5,0.003927395224414337,31.08249720563562,58.78790759424736,14.0,2.22134135612903
83,centralized,Corr,0.00021544346900318823,3.5,0.0038805550723527427,30.838213675034638,64.99789783307631,12.0,1.7901367462233748
84,centralized,Corr,0.00021544346900318823,4.0,0.0037859289497654512,30.342350440332414,62.92790108679999,18.0,1.6113583501278985
85,centralized,Corr,0.00021544346900318823,4.0,0.003714478737415334,29.965780215811446,92.73585423317893,1.0,1.281624795322925
86,centralized,Corr,0.0005994842503189409,1.5,0.004229029728196011,32.638046001345614,23.59796290754999,6.0,1.2594116690738804
87,centralized,Corr,0.0005994842503189409,1.5,0.004125313354954925,32.106499115049516,24.130247785163903,6.0,1.2047932355254596
88,centralized,Corr,0.0005994842503189409,1.5,0.00387718846542922,30.82062645613425,33.17909070460037,2.0,1.182596868435517
89,centralized,Corr,0.0005994842503189409,2.0,0.003757574656889038,30.193137817706372,12.301694949299245,32.0,0.5771274566118382
90,centralized,Corr,0.0005994842503189409,2.0,0.003791857435871838,30.373511597539128,14.430834459754884,18.0,0.5295665761037199
91,centralized,Corr,0.0005994842503189409,2.0,0.004005752452821237,31.48946656155781,20.10853982096992,12.0,0.42691294899412824
92,centralized,Corr,0.0005994842503189409,2.5,0.003780906382690231,30.315940938363603,15.377118686624057,39.0,0.21953274424580618
93,centralized,Corr,0.0005994842503189409,2.5,0.0037525164278714605,30.1664881917077,16.264260149313905,30.0,0.05379761298294592
94,centralized,Corr,0.0005994842503189409,3.0,0.0037768948902994013,30.2948412264588,18.452542423948866,47.0,0.024975055980825306
95,centralized,Corr,0.0005994842503189409,3.0,0.0037979499238605554,30.40552147423255,19.517112179176685,35.0,0.023458464509713336
96,centralized,Corr,0.0005994842503189409,3.5,0.0037503476482353706,30.15505893681086,25.25396030457105,32.0,0.019210850497199606
97,centralized,Corr,0.0005994842503189409,4.0,0.0037719510797793038,30.26882960183843,24.60338989859849,63.0,0.012898680131686924
98,centralized,Corr,0.0016681005372000592,1.0,0.003757574656889038,30.193137817706372,6.1508474746496224,16.0,0.005469947208302993
99,centralized,Corr,0.0016681005372000592,1.0,0.003752516427871471,30.166488191707753,6.505704059725563,12.0,0.003502639125220193
