,clip,sigma,sigma-cor,eps-iter,eps,sigma-cdp,sigma-ldp
0,0.001,3.7551020408163268e-06,7.763527054108217e-06,10781.030384619993,0.10669756069852711,8.512652009909882e-07,1.3620243215855811e-05
1,0.001,3.938775510204081e-06,6.627254509018036e-06,10667.804056432826,0.10123943428455569,8.557708717696614e-07,1.3692333948314582e-05
2,0.001,4.122448979591837e-06,5.509018036072144e-06,11086.0104058627,0.12281758279090621,8.394742404827139e-07,1.3431587847723423e-05
3,0.001,4.306122448979591e-06,4.93186372745491e-06,11339.999522157354,0.13796242626872066,8.300198850809349e-07,1.3280318161294958e-05
4,0.001,4.489795918367347e-06,4.93186372745491e-06,10781.577613730286,0.10672460543710072,8.512435973339725e-07,1.361989755734356e-05
5,0.001,4.673469387755102e-06,4.372745490981964e-06,11443.472428505662,0.14461845062085954,8.262588065665305e-07,1.3220140905064487e-05
6,0.001,4.857142857142857e-06,4.372745490981964e-06,10988.429032489306,0.11742538330658776,8.431934249346351e-07,1.3491094798954162e-05
7,0.001,5.040816326530612e-06,4.084168336673347e-06,11334.070517150294,0.13758981900902442,8.302369539896719e-07,1.3283791263834751e-05
8,0.001,5.224489795918367e-06,4.084168336673347e-06,10953.14541333834,0.1155311581673414,8.445504321567553e-07,1.3512806914508085e-05
9,0.001,5.408163265306122e-06,3.813627254509018e-06,11431.664585942695,0.14384406732553073,8.26685420546742e-07,1.3226966728747872e-05
10,0.001,5.5918367346938776e-06,3.813627254509018e-06,11100.731071626082,0.12365096119423544,8.389174429526197e-07,1.3422679087241915e-05
11,0.001,5.775510204081632e-06,3.813627254509018e-06,10794.767118283597,0.10737841529561026,8.507233956089137e-07,1.3611574329742619e-05
12,0.001,5.9591836734693876e-06,3.5250501002004006e-06,11521.570734311164,0.14983860348312245,8.234536709271652e-07,1.3175258734834644e-05
13,0.001,6.142857142857143e-06,3.5250501002004006e-06,11239.032450912759,0.13174393513605348,8.33739836101846e-07,1.3339837377629536e-05
14,0.001,6.3265306122448975e-06,3.5250501002004006e-06,10973.471652427148,0.1166188382580542,8.437678862430945e-07,1.3500286179889512e-05
15,0.001,6.510204081632653e-06,3.5250501002004006e-06,10722.995737714973,0.10386600773335648,8.535656873797023e-07,1.3657050998075237e-05
16,0.001,6.6938775510204075e-06,3.3807615230460923e-06,11024.89513374749,0.11941382380158597,8.417977905912226e-07,1.3468764649459562e-05
17,0.001,6.877551020408163e-06,3.254509018036072e-06,11292.38862372547,0.13499671448770698,8.317678069538822e-07,1.3308284911262114e-05
18,0.001,7.061224489795918e-06,3.254509018036072e-06,11055.730958932827,0.12111994905262542,8.406230308852352e-07,1.3449968494163764e-05
19,0.001,7.244897959183673e-06,3.254509018036072e-06,10829.023306064264,0.10909427718426581,8.493767541234875e-07,1.35900280659758e-05
20,0.001,7.612244897959183e-06,3.1102204408817638e-06,10971.499535180323,0.11651288653489371,8.438437160978067e-07,1.3501499457564908e-05
21,0.001,7.79591836734694e-06,2.9659318637274547e-06,11360.806854866882,0.13927751767625024,8.29259445478767e-07,1.3268151127660271e-05
22,0.001,7.979591836734695e-06,2.9659318637274547e-06,11135.334598796413,0.12563092938078582,8.376129428503909e-07,1.3401807085606254e-05
23,0.001,8.163265306122448e-06,2.9659318637274547e-06,10916.852467817038,0.11361284418088174,8.459531162301322e-07,1.3535249859682115e-05
24,0.001,8.346938775510204e-06,2.9659318637274547e-06,10704.911469435052,0.10299833137020843,8.542863657901742e-07,1.3668581852642787e-05
25,0.001,8.53061224489796e-06,2.8216432865731464e-06,11085.304987573549,0.12277777990309438,8.395009502152182e-07,1.3432015203443491e-05
26,0.001,8.714285714285715e-06,2.677354709418838e-06,11481.848422005782,0.14716206425566575,8.248768408423742e-07,1.3198029453477988e-05
27,0.001,8.89795918367347e-06,2.677354709418838e-06,11250.469858323046,0.13243496635011268,8.333159317183049e-07,1.3333054907492879e-05
28,0.001,9.081632653061225e-06,2.677354709418838e-06,11025.262506417836,0.119434016468902,8.417837657061805e-07,1.3468540251298888e-05
29,0.001,9.26530612244898e-06,2.677354709418838e-06,10805.967453265968,0.1079365983334072,8.502823958852896e-07,1.3604518334164634e-05
30,0.001,9.63265306122449e-06,2.533066132264529e-06,10940.364491937751,0.1148521444235724,8.450436050313072e-07,1.3520697680500916e-05
31,0.001,9.816326530612245e-06,2.3887775551102205e-06,11288.667932717879,0.13476747588647187,8.319048690083429e-07,1.3310477904133486e-05
32,0.001,1e-05,2.3887775551102205e-06,11051.352393306926,0.12087629654017257,8.40789542569567e-07,1.3452632681113072e-05
