,topology,method,gamma,c_clip,eps_iter,eps,sigma,sigma_cor,loss
0,grid,LDP,1e-05,1.0,0.003720956772344013,30,-1.0,-1,inf
1,grid,LDP,1e-05,1.0,0.003720956772344013,30,23.18396355829473,0,9.842004853281214
2,grid,LDP,1e-05,1.5,0.003720956772344013,30,34.775945337442096,0,9.759782845885915
3,grid,LDP,1e-05,2.5,0.003720956772344013,30,57.95990889573683,0,9.68409917840081
4,grid,LDP,1e-05,3.0,0.003720956772344013,30,69.55189067488419,0,9.658300230749306
5,grid,LDP,1e-05,3.5,0.003720956772344013,30,81.14387245403157,0,9.531309117335484
6,grid,LDP,1e-05,4.0,0.003720956772344013,30,92.73585423317893,0,9.500692004338696
7,grid,LDP,2.782559402207126e-05,1.5,0.003720956772344013,30,34.775945337442096,0,9.37578330212037
8,grid,LDP,2.782559402207126e-05,2.0,0.003720956772344013,30,46.36792711658946,0,9.212245700582796
9,grid,LDP,2.782559402207126e-05,2.5,0.003720956772344013,30,57.95990889573683,0,9.1628080926928
10,grid,LDP,2.782559402207126e-05,3.0,0.003720956772344013,30,69.55189067488419,0,9.116312150450877
11,grid,LDP,2.782559402207126e-05,3.5,0.003720956772344013,30,81.14387245403157,0,8.886205818475794
12,grid,LDP,2.782559402207126e-05,4.0,0.003720956772344013,30,92.73585423317893,0,8.34335316768531
13,grid,LDP,7.742636826811278e-05,2.0,0.003720956772344013,30,46.36792711658946,0,8.213102798227144
14,grid,LDP,7.742636826811278e-05,2.5,0.003720956772344013,30,57.95990889573683,0,7.603514861010945
15,grid,LDP,7.742636826811278e-05,3.5,0.003720956772344013,30,81.14387245403157,0,6.607891708231666
16,grid,LDP,0.00021544346900318823,1.5,0.003720956772344013,30,34.775945337442096,0,6.290905992843711
17,grid,LDP,0.00021544346900318823,2.0,0.003720956772344013,30,46.36792711658946,0,4.929606896036501
18,grid,LDP,0.00021544346900318823,2.5,0.003720956772344013,30,57.95990889573683,0,4.232441080722593
19,grid,LDP,0.00021544346900318823,3.0,0.003720956772344013,30,69.55189067488419,0,3.823781689152092
20,grid,LDP,0.00021544346900318823,3.5,0.003720956772344013,30,81.14387245403157,0,2.3357276561770424
21,grid,LDP,0.0005994842503189409,1.5,0.003720956772344013,30,34.775945337442096,0,1.1668266568636265
22,grid,LDP,0.0005994842503189409,2.0,0.003720956772344013,30,46.36792711658946,0,1.010312445207027
23,grid,LDP,0.0005994842503189409,2.5,0.003720956772344013,30,57.95990889573683,0,0.22169794802372375
24,grid,LDP,0.0005994842503189409,3.5,0.003720956772344013,30,81.14387245403157,0,0.20062047046720982
25,grid,LDP,0.0016681005372000592,1.0,0.003720956772344013,30,23.18396355829473,0,0.06516632197636608
