,topology,sigma,sigma-cor,epsilon
0,grid,13.476020371116341,75.0751,10.053973682725571
1,grid,14.253483084834592,50.0501,10.356348877357199
2,grid,15.030945798552843,43.7438,10.349250709984268
3,grid,15.808408512271093,37.537600000000005,10.611805014557435
4,grid,16.585871225989344,37.537600000000005,10.264776571683411
5,grid,17.363333939707594,34.3344,10.423523519827889
6,grid,18.140796653425845,31.231299999999997,10.710687116180743
7,grid,18.918259367144096,31.231299999999997,10.459473160172667
8,grid,19.695722080862346,31.231299999999997,10.229858657899186
9,grid,20.473184794580597,31.231299999999997,10.018836654351228
10,grid,21.250647508298847,28.1282,10.509262718292694
11,grid,22.028110222017098,28.1282,10.321794333990603
12,grid,22.80557293573535,28.1282,10.145996880078622
13,grid,24.36049836317185,25.0251,10.625556093742187
14,grid,25.1379610768901,25.0251,10.46349928478054
15,grid,25.91542379060835,25.0251,10.30835115014669
16,grid,26.6928865043266,25.0251,10.15941775707539
17,grid,27.470349218044852,25.0251,10.016103646603911
18,grid,28.247811931763103,23.423499999999997,10.311800682786139
19,grid,29.02527464548135,21.8219,10.634041305579425
20,grid,29.8027373591996,21.8219,10.483231884725722
21,grid,30.58020007291785,21.8219,10.336668680941933
22,grid,31.3576627866361,21.8219,10.194085388514672
23,grid,32.13512550035435,21.8219,10.055246983774305
24,grid,32.9125882140726,20.220299999999998,10.362468082421167
25,grid,33.69005092779085,18.718799999999998,10.651111150065947
26,grid,34.4675136415091,18.718799999999998,10.496354927407342
27,grid,35.24497635522735,18.718799999999998,10.345398616063976
28,grid,36.0224390689456,18.718799999999998,10.19809680607621
29,grid,36.79990178266385,18.718799999999998,10.054314642326911
30,grid,37.5773644963821,17.1172,10.33060418186254
31,grid,38.35482721010035,15.615699999999999,10.574864017768926
32,grid,39.132289923818604,15.615699999999999,10.413054985351588
33,grid,39.909752637536855,15.615699999999999,10.255403600715415
34,grid,40.687215351255105,15.615699999999999,10.10176953860568
35,grid,41.464678064973356,12.512599999999999,10.681418607886604
36,grid,42.242140778691606,12.512599999999999,10.506736476659963
37,grid,43.01960349240986,12.512599999999999,10.337033086551122
38,grid,43.79706620612811,12.512599999999999,10.172120515888357
39,grid,44.57452891984636,12.512599999999999,10.011819263604076
40,grid,45.35199163356461,9.3094,10.450628058438017
41,grid,46.12945434728286,9.3094,10.273692611170615
42,grid,46.90691706100111,6.2063,10.55099839069602
43,grid,47.68437977471936,6.2063,10.364026230582537
44,grid,48.46184248843761,6.2063,10.183279469979311
45,grid,49.23930520215586,6.2063,10.008463721683809
46,grid,50.01676791587411,3.1032,10.090693742039035
