,topology,sigma,sigma-cor,epsilon
0,ring,4.641402930478157,18.66222295919201,5.82896763331139
1,ring,4.869668648370525,18.66222295919201,5.653774697544163
2,ring,5.097934366262894,18.66222295919201,5.494298545483948
3,ring,5.326200084155262,18.66222295919201,5.348249010940932
4,ring,5.5544658020476305,18.66222295919201,5.2137614746171055
5,ring,5.782731519939999,18.66222295919201,5.08930507874022
6,ring,8.065388698863682,9.332975649625459,5.908832109507261
7,ring,8.293654416756052,9.332975649625459,5.804222866389095
8,ring,8.521920134648418,9.332975649625459,5.703717936284791
9,ring,8.750185852540788,9.332975649625459,5.607042201635614
10,ring,8.978451570433156,9.332975649625459,5.513946409116095
11,ring,9.206717288325525,9.332975649625459,5.424204129368832
12,ring,9.434983006217893,9.332975649625459,5.3376091418491
13,ring,9.663248724110261,9.332975649625459,5.253973175712974
14,ring,9.89151444200263,9.332975649625459,5.1731239505162545
15,ring,10.119780159894997,9.332975649625459,5.094903470635052
16,ring,10.348045877787367,9.332975649625459,5.0191665353999575
17,ring,11.26110874935684,4.668351994842184,5.894371754750374
18,ring,11.489374467249208,4.668351994842184,5.7911480033527125
19,ring,11.717640185141576,4.668351994842184,5.691253106484403
20,ring,11.945905903033944,4.668351994842184,5.594532806347552
21,ring,12.174171620926314,4.668351994842184,5.500842360500566
22,ring,12.402437338818682,4.668351994842184,5.410045783835019
23,ring,12.63070305671105,4.668351994842184,5.322015166356747
24,ring,12.858968774603419,4.668351994842184,5.236630057635409
25,ring,13.087234492495787,4.668351994842184,5.153776910055764
26,ring,13.315500210388155,4.668351994842184,5.073348574077055
27,ring,13.772031646172893,2.3173816728314134,5.29676753269572
28,ring,14.000297364065261,2.3173816728314134,5.207079948556343
29,ring,14.22856308195763,2.3173816728314134,5.120296576855212
30,ring,14.456828799849998,2.3173816728314134,5.03628190872521
31,ring,14.685094517742366,1.160555006445161,5.050712317739632
