Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.369258414278128
5,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3816650320589875
10,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.38538748422323343
15,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3713751912862726
20,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3811285612666314
25,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3742251125708278
30,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.37049852353279966
35,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3632469538216587
40,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.35480320897574613
45,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34571510017121854
50,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3469297632152054
55,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.351244543601017
60,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.35399571201618185
65,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.348136945396193
70,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34669697499261587
75,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34148895466188234
80,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3411487853415458
85,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3484151378229714
90,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34432866174851995
95,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34731741430189333
100,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.35768523132200547
105,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34959148956090846
110,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3413187806676512
115,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.33836957550753344
120,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3428034729810202
125,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3508414361046318
130,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.34904255704581966
135,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3554919838899492
140,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.35133263388214475
145,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3511576298591239
150,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3412273592454397
155,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3387626661691304
160,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3355198672987262
165,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3385876300503955
170,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3319844808753949
175,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3284806254391377
180,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.31850920580054687
185,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3170105413992129
190,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.31066715298065684
195,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3086838000794594
200,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.30953546721480285
205,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3079053529745921
210,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.304948139869634
215,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2971852460086588
220,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2933114553113664
225,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.29530911246515656
230,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3008489537126161
235,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.30578957003725815
240,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.30594317892040435
245,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.298174555349906
250,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2959466528767942
255,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.29281141910304287
260,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2902455408086564
265,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.29765065394465395
270,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.3035912542293119
275,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2939617962667749
280,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2909072281809899
285,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.29141058525233
290,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2899208897622795
295,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2859465093387835
300,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.2803526231236897
305,centralized,cdp,0.1,0.01,0.0,0.20078182598175043,0,10,0.285305058266045
