Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.380741340298667
5,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3809362296092398
10,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38075684448501024
15,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38097254857833385
20,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38074270393310783
25,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808824913773675
30,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3804525063747094
35,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808939990421204
40,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.380848980081946
45,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3804041528855825
50,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38081225801471263
55,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808334375991086
60,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3806081451993688
65,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38083707231967334
70,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808181559257692
75,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38085875533103064
80,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3807048795479634
85,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3809361978916852
90,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3804581059821007
95,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38084978327736907
100,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3809195908874021
105,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808874492866242
110,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3807210287749069
115,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3807713262843013
120,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38067703320615465
125,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38085829116343706
130,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38109782874655285
135,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3807331348427989
140,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3808459772755356
145,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38071276423504297
150,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3809926965047299
155,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.380513162551695
160,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.3804864899805601
165,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38018598843716866
170,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.380341690662805
175,centralized,cdp,0.05,1e-05,0.0,0.0006002211319817645,0,3,0.38065650832240294
