Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39136267509587397
5,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39136737052556336
10,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916255033975966
15,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39152122658076205
20,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39142337677673555
25,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914138046689031
30,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3912840997981152
35,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39169033867696035
40,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914281154090734
45,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913601197361183
50,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915865511210863
55,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3918484950336074
60,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391504951910599
65,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916259697101746
70,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916610370867155
75,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914388704387597
80,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915707666609164
85,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3917919511865635
90,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916427110140519
95,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915161893491893
100,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915153280923471
105,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3917103727334894
110,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39170653983736325
115,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39164481699371523
120,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39154048139121056
125,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39150559530585727
130,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39126978129936196
135,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3917527317520594
140,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39145743358090146
145,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39137617849353123
150,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916532649598252
155,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914148829702718
160,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3912091889357161
165,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3912637384427845
170,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391331982439871
175,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916967908291271
180,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913406795780774
185,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39142688207764764
190,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391468892175199
195,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39174396040032844
200,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915175359384452
205,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915137819799519
210,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3917849317473199
215,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916612887056413
220,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39157917417094235
225,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914140758901642
230,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3919016772870284
235,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39176287143670174
240,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391250916268015
245,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39146516886672766
250,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913355527226725
255,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39154982210696754
260,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913801138424712
265,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391540884112778
270,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39167122855774683
275,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915369411967481
280,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39154424829235335
285,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391896339260858
290,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39142466605925463
295,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39171412127718297
300,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39161282285530996
305,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391621731089161
310,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916157909786958
315,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39158834437753354
320,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39139941379894216
325,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915764732979222
330,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39150568277790576
335,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913817545738908
340,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915374221802932
345,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39184207965184503
350,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39149041769298554
355,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39144014155058315
360,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39129504874039056
365,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39139187430026134
370,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39113000618731464
375,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914341843011472
380,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39136358150466843
385,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39132705442284355
390,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391626949297726
395,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39113994619251913
400,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916906159758383
405,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39138692794125407
410,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39165982013731704
415,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915887943134424
420,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914841824367091
425,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913446522498665
430,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39144019145905795
435,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39155162050762804
440,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3914987029179269
445,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916865070888744
450,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39163581761069466
455,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915288696179252
460,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3917192878485867
465,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915745359429722
470,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915866123239857
475,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391139076052197
480,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39172565160955986
485,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3916281327350277
490,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.391366495223995
495,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3915701216868528
500,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3913000080647271
505,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.3912326504864292
510,centralized,cdp,0.0001,1e-05,0.0,0.00037283400589086836,0,5,0.39188279145753835
