,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,centralized,0.0001,1e-05,0.0,0.00037283400589086836,0,5000,0.39148204852970486
1,centralized,0.0001,0.0001,0.0,0.003728340058908683,0,5000,0.39145577939782994
2,centralized,0.0001,0.001,0.0,0.03728340058908683,0,5000,0.3911944028109672
3,centralized,0.0001,0.01,0.0,0.3728340058908683,0,5000,0.38859522128994994
4,centralized,0.0001,0.1,0.0,3.7283400589086835,0,5000,0.36403920808004697
5,centralized,0.005,1e-05,0.0,0.00037283400589086836,0,5000,0.39132960423838953
6,centralized,0.005,0.0001,0.0,0.003728340058908683,0,5000,0.3900259759885738
7,centralized,0.005,0.001,0.0,0.03728340058908683,0,5000,0.3773523373796827
8,centralized,0.005,0.01,0.0,0.3728340058908683,0,5000,0.28421454696322906
9,centralized,0.005,0.1,0.0,3.7283400589086835,0,5000,0.14356445829345074
10,centralized,0.01,1e-05,0.0,0.00037283400589086836,0,5000,0.3911841375087805
11,centralized,0.01,0.0001,0.0,0.003728340058908683,0,5000,0.38858469572767224
12,centralized,0.01,0.001,0.0,0.03728340058908683,0,5000,0.36403419840225637
13,centralized,0.01,0.01,0.0,0.3728340058908683,0,5000,0.23210295406190312
14,centralized,0.01,0.1,0.0,3.7283400589086835,0,5000,0.19451854571189647
15,centralized,0.05,1e-05,0.0,0.00037283400589086836,0,5000,0.38997426470924645
16,centralized,0.05,0.0001,0.0,0.003728340058908683,0,5000,0.3773156249963153
17,centralized,0.05,0.001,0.0,0.03728340058908683,0,5000,0.2842424272553053
18,centralized,0.05,0.01,0.0,0.3728340058908683,0,5000,0.143582089602783
19,centralized,0.05,0.1,0.0,3.7283400589086835,0,5000,1.35481033750267
20,centralized,0.1,1e-05,0.0,0.00037283400589086836,0,5000,0.38847730852096635
21,centralized,0.1,0.0001,0.0,0.003728340058908683,0,5000,0.3639792230298454
22,centralized,0.1,0.001,0.0,0.03728340058908683,0,5000,0.23218735030464302
23,centralized,0.1,0.01,0.0,0.3728340058908683,0,5000,0.19435586277289738
24,centralized,0.1,0.1,0.0,3.7283400589086835,0,5000,6.036090428432506
