Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,0.4295958822051795
5,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,27.237822046410923
10,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.90858046729711
15,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,25.524202773706822
20,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,25.662160705838378
25,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.83830491067101
30,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.910517520340278
35,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.74633350266
40,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.601880016321616
45,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,24.542081449117614
50,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,24.983957208876074
55,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,26.108526083589997
60,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,25.212190757314996
65,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.75235137508691
70,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,24.403315830359976
75,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.916641394102953
80,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,25.256366197441796
85,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,26.540675332868837
90,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,26.513757119798942
95,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,33.25384189490984
100,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,29.218594132765418
105,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,24.6583076537926
110,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.760477227471412
115,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.173948395905303
120,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.571098850111838
125,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.847946003232526
130,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.797743768634636
135,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.26326288531711
140,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.046597136917928
145,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.454387094317944
150,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.80758873206051
155,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.19837597285078
160,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.782388592026173
165,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.163433356857116
170,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.940065676221927
175,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.359690483878563
180,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.233437405580872
185,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.678051919827862
190,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.97703940060061
195,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.077179286507267
200,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.880195939267715
205,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.48540498357913
210,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,18.79357731200983
215,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.973783383378414
220,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.05802558286389
225,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.64840231694732
230,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.649167521974665
235,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.2167836324504
240,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.796118118064147
245,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.753725877063648
250,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,19.815167855948086
255,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.51059283996845
260,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.391819246496564
265,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.09932618354224
270,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.26234999226747
275,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.6091935703482
280,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.81549199015919
285,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,23.04343927203273
290,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.671745343792693
295,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,22.424466148371195
300,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,22.816479933988298
305,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,22.101870770838797
310,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.99469760299532
315,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.813661048817025
320,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,22.131861935291465
325,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,21.29692458842739
330,centralized,cdp,0.5,0.5,0.0,10.039091299087522,0,10,20.93218517723451
