,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
10,centralized,0.01,0.1,,2.0078182598175043,0,5000,0.0809151874850847
20,centralized,0.1,0.01,,0.2007818259817504,0,5000,0.09357395008012462
24,centralized,0.5,0.001,,0.020078182598175,0,5000,0.0992967627422627
9,centralized,0.01,0.05,,1.003909129908752,0,5000,0.09973744567054309
19,centralized,0.1,0.005,,0.1003909129908752,0,5000,0.10506953612400798
14,centralized,0.05,0.01,,0.2007818259817504,0,5000,0.10787010879088821
4,centralized,0.005,0.1,,2.0078182598175043,0,5000,0.11215287287582223
25,centralized,0.5,0.005,,0.1003909129908752,0,5000,0.12812987200374593
13,centralized,0.05,0.005,,0.1003909129908752,0,5000,0.13855540324852292
3,centralized,0.005,0.05,,1.003909129908752,0,5000,0.15427808940572246
15,centralized,0.05,0.05,,1.003909129908752,0,5000,0.15642719944214284
16,centralized,0.05,0.1,,2.0078182598175043,0,5000,0.20556634344589983
18,centralized,0.1,0.001,,0.020078182598175,0,5000,0.21980021264429392
8,centralized,0.01,0.01,,0.2007818259817504,0,5000,0.2271276697080668
7,centralized,0.01,0.005,,0.1003909129908752,0,5000,0.23989786916666556
2,centralized,0.005,0.01,,0.2007818259817504,0,5000,0.24325822662012136
12,centralized,0.05,0.001,,0.020078182598175,0,5000,0.24731710097852005
21,centralized,0.1,0.05,,1.003909129908752,0,5000,0.2572616569990018
5,centralized,0.005,0.5,,10.039091299087522,0,5000,0.2779166645706115
26,centralized,0.5,0.01,,0.2007818259817504,0,5000,0.3197534291370254
1,centralized,0.005,0.005,,0.1003909129908752,0,5000,0.32140363579675557
0,centralized,0.005,0.001,,0.020078182598175,0,5000,0.37893423988111846
6,centralized,0.01,0.001,,0.020078182598175,0,5000,0.37949949931096066
11,centralized,0.01,0.5,,10.039091299087522,0,5000,0.45730593500989786
22,centralized,0.1,0.1,,2.0078182598175043,0,5000,0.7396446060902181
27,centralized,0.5,0.05,,1.003909129908752,0,5000,4.4035143253411935
17,centralized,0.05,0.5,,10.039091299087522,0,5000,5.913954498880856
28,centralized,0.5,0.1,,2.0078182598175043,0,5000,10.590631405737367
23,centralized,0.1,0.5,,10.039091299087522,0,5000,13.709364130753926
29,centralized,0.5,0.5,,10.039091299087522,0,5000,51.503365734079985
