Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,cdp,0.1,1,6.349278828699045,0,10,-1.0
0,centralized,cdp,0.1,1,6.349278828699045,0,10,0.3985811938119408
5,centralized,cdp,0.1,1,6.349278828699045,0,10,10.837102919004728
10,centralized,cdp,0.1,1,6.349278828699045,0,10,10.661157026168297
15,centralized,cdp,0.1,1,6.349278828699045,0,10,9.287657919888169
20,centralized,cdp,0.1,1,6.349278828699045,0,10,8.268571079592675
25,centralized,cdp,0.1,1,6.349278828699045,0,10,7.745506011220578
30,centralized,cdp,0.1,1,6.349278828699045,0,10,6.9472565253989345
35,centralized,cdp,0.1,1,6.349278828699045,0,10,6.1015436764614455
40,centralized,cdp,0.1,1,6.349278828699045,0,10,7.310783169740976
45,centralized,cdp,0.1,1,6.349278828699045,0,10,7.09139535865772
50,centralized,cdp,0.1,1,6.349278828699045,0,10,7.223974058592861
55,centralized,cdp,0.1,1,6.349278828699045,0,10,6.451659646414024
60,centralized,cdp,0.1,1,6.349278828699045,0,10,6.196377927712392
65,centralized,cdp,0.1,1,6.349278828699045,0,10,6.244687211780588
70,centralized,cdp,0.1,1,6.349278828699045,0,10,5.892244505722093
75,centralized,cdp,0.1,1,6.349278828699045,0,10,5.8500835262520905
80,centralized,cdp,0.1,1,6.349278828699045,0,10,5.495862028121643
85,centralized,cdp,0.1,1,6.349278828699045,0,10,5.931044038435299
90,centralized,cdp,0.1,1,6.349278828699045,0,10,6.075342625523024
95,centralized,cdp,0.1,1,6.349278828699045,0,10,5.588901258153678
100,centralized,cdp,0.1,1,6.349278828699045,0,10,5.591143483722331
105,centralized,cdp,0.1,1,6.349278828699045,0,10,5.306729942843167
110,centralized,cdp,0.1,1,6.349278828699045,0,10,5.25308531569889
115,centralized,cdp,0.1,1,6.349278828699045,0,10,5.399971900754737
120,centralized,cdp,0.1,1,6.349278828699045,0,10,5.669875756570058
125,centralized,cdp,0.1,1,6.349278828699045,0,10,5.269288814525763
130,centralized,cdp,0.1,1,6.349278828699045,0,10,5.4909763215030365
135,centralized,cdp,0.1,1,6.349278828699045,0,10,5.317596342199992
140,centralized,cdp,0.1,1,6.349278828699045,0,10,5.145225558468395
145,centralized,cdp,0.1,1,6.349278828699045,0,10,5.182132402597791
150,centralized,cdp,0.1,1,6.349278828699045,0,10,4.9960530461231265
