Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,-1.0
0,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.36479051131589213
5,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,1.2207478281250945
10,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,1.1449165523592582
15,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,1.0236353275748074
20,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.9518101078520839
25,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,1.0629556047274802
30,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,1.0340801847922694
35,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.9405876105338226
40,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.8274623536744562
45,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.7523715889957859
50,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.7764938456557037
55,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.7254349336891649
60,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.6893519941903808
65,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.6635385188793287
70,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5912131189008883
75,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5748740047039672
80,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5998002126810386
85,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5803147072879914
90,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5755073923243713
95,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5803847958802961
100,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5460246971390929
105,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5251428498706759
110,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.5056822265512705
115,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.4866964789406112
120,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.4785520227080381
125,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.48787258969115765
130,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.4233420656380411
135,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.44907754845385084
140,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.47238841984722624
145,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.45749715207151564
150,centralized,cdp,0.5,0.05,0.31746394143495227,0,10,0.48254814385342126
