,topology,lr,clip,T,loss
36,centralized,0.1,0.1,500,0.1347992884492326
45,centralized,0.5,0.01,500,0.142524294945926
19,centralized,0.05,0.05,1000,0.1440446738821746
33,centralized,0.1,0.05,500,0.1631979370182281
34,centralized,0.1,0.05,1000,0.1634467770427339
20,centralized,0.05,0.05,2000,0.1651734841170989
10,centralized,0.01,0.5,1000,0.1691438173733542
8,centralized,0.01,0.1,2000,0.171037464207806
35,centralized,0.1,0.05,2000,0.174299473307037
9,centralized,0.01,0.5,500,0.1750647440447625
46,centralized,0.5,0.01,1000,0.1751091646303203
22,centralized,0.05,0.1,1000,0.180508313550159
48,centralized,0.5,0.05,500,0.1881985906280862
21,centralized,0.05,0.1,500,0.1977731465106502
11,centralized,0.01,0.5,2000,0.2061538509961298
12,centralized,0.01,1.0,500,0.2193715125536414
32,centralized,0.1,0.01,2000,0.2206540325390603
5,centralized,0.01,0.05,2000,0.2221449709549788
18,centralized,0.05,0.05,500,0.2256654389066278
17,centralized,0.05,0.01,2000,0.2324092915703665
31,centralized,0.1,0.01,1000,0.2352070180239726
6,centralized,0.01,0.1,500,0.2521983885035515
7,centralized,0.01,0.1,1000,0.2661881103728608
16,centralized,0.05,0.01,1000,0.2752513113108271
30,centralized,0.1,0.01,500,0.2754093035820706
23,centralized,0.05,0.1,2000,0.2761957939786629
4,centralized,0.01,0.05,1000,0.277049089462854
47,centralized,0.5,0.01,2000,0.2962062822412935
3,centralized,0.01,0.05,500,0.3041019512652978
37,centralized,0.1,0.1,1000,0.3112829896597241
15,centralized,0.05,0.01,500,0.3147101116451741
1,centralized,0.01,0.01,1000,0.321171081419266
2,centralized,0.01,0.01,2000,0.3552313235356849
13,centralized,0.01,1.0,1000,0.3588266053515914
0,centralized,0.01,0.01,500,0.3780672605883658
38,centralized,0.1,0.1,2000,0.4623060793366207
14,centralized,0.01,1.0,2000,0.5397284120646513
24,centralized,0.05,0.5,500,0.5536572091483073
49,centralized,0.5,0.05,1000,0.5633320086172394
39,centralized,0.1,0.5,500,0.6151951697181305
25,centralized,0.05,0.5,1000,0.6718773288772126
51,centralized,0.5,0.1,500,0.809009177869284
27,centralized,0.05,1.0,500,0.8362608070061622
50,centralized,0.5,0.05,2000,1.1858202903423356
40,centralized,0.1,0.5,1000,1.1918615016526737
52,centralized,0.5,0.1,1000,1.551864518136851
26,centralized,0.05,0.5,2000,1.7111041317799711
28,centralized,0.05,1.0,1000,2.679577240465916
42,centralized,0.1,1.0,500,3.2125622368181497
41,centralized,0.1,0.5,2000,3.8373409233342457
53,centralized,0.5,0.1,2000,3.953462206841316
43,centralized,0.1,1.0,1000,4.711515623986893
29,centralized,0.05,1.0,2000,5.164536638036625
54,centralized,0.5,0.5,500,12.147776599080592
57,centralized,0.5,1.0,500,18.225532720930754
44,centralized,0.1,1.0,2000,19.218669538426376
56,centralized,0.5,0.5,2000,21.38391296673956
55,centralized,0.5,0.5,1000,22.3248710870377
58,centralized,0.5,1.0,1000,31.94219006860753
59,centralized,0.5,1.0,2000,47.4375114117132
