Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,0.3884469963027273
5,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.8981694062791967
10,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.524463896689948
15,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.5141553296228403
20,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.206695271769329
25,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.2480767169256994
30,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.543745876720964
35,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.9429731842401607
40,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.139857085994569
45,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.8491572391722775
50,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.304467634776089
55,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.4977490521847505
60,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.041430688116178
65,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.915403746382419
70,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.0784866967422686
75,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.369580495279169
80,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,4.123461366309602
85,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.9974229866665167
90,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.030293107447609
95,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.5770250085833055
100,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,4.217119474677443
105,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,5.206742323012028
110,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.8808335407784407
115,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.4019076664995107
120,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.015319009803267
125,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.506022979013878
130,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,3.5565477070068234
135,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.9695067619215045
140,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.4349469628830933
145,grid,corr,0.01,0.5,0.0,40.15636519635009,1e-07,10,2.155226447840802
