Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39136267509587397
5,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3913837132354381
10,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3915768306888129
15,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39139089986200704
20,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39118806494218605
25,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39111037089808887
30,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39091134134352357
35,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.391252656077247
40,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3909014532459565
45,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39075771684284644
50,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3908729082024722
55,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3910633557713522
60,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39063584686100394
65,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39075267372104316
70,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39079350918724276
75,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39052719038170924
80,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39058974596108387
85,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39075358251178516
90,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39051583432288195
95,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39037108849964075
100,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3903470093846404
105,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39043665359624014
110,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3903971338190316
115,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39033210885267966
120,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3902193250536362
125,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3902437966599017
130,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3899947900772751
135,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39048084944543904
140,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3901475368407812
145,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3900018169757935
150,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3902964029615551
155,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.39002779360664064
160,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3897528951366511
165,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3897558808002858
170,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38967305161237265
175,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3900638304992303
180,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3897013058389781
185,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38974590994249914
190,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3898275495894027
195,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3900556949370856
200,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38978301440291063
205,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3897112617591342
210,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38992471972201614
215,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38981312177517013
220,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3896580637496351
225,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3894915910049266
230,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3899462885609257
235,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.389795303346007
240,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3892618328322025
245,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3893383756786999
250,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38923563031166464
255,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38935854818215565
260,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38904945559863946
265,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3892573203061813
270,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3893964626876286
275,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38917427484990297
280,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38914765451671274
285,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38944960568534237
290,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38899093209611024
295,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38917806194760873
300,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3890325582225682
305,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38902062321295183
310,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3889931536526673
315,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3888303016005973
320,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3886258184897917
325,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.38877079615397014
330,grid,corr,0.01,0.0001,0.0,0.01103284303146447,0.004668351994842183,5,0.3886312380165965
