Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39136267509587397
5,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3913832453867955
10,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39157624255100865
15,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3913902004534092
20,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3911872571760382
25,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39110944968946615
30,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39091031628343564
35,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3912514984160219
40,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39090019623655015
45,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39075635060821645
50,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3908714161212591
55,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3910617351860627
60,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3906341364129011
65,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39075083784233877
70,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39079156893276024
75,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39052515404992316
80,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3905875914869641
85,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3907512962909454
90,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39051345015572936
95,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39036860295048403
100,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3903444187994256
105,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3904339248787665
110,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39039429451988705
115,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3903291630617681
120,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3902162839883778
125,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39024064960613924
130,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38999156234511045
135,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39047743342248686
140,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3901440626485161
145,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38999824356506874
150,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3902926743037012
155,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39002399700815893
160,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3897490237118135
165,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3897518881519554
170,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3896689441731105
175,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39005955314182383
180,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3896969824366354
185,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38974145337973265
190,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38982298479182664
195,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.39005096962416996
200,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3897782207688463
205,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3897063634297575
210,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38991965524871075
215,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3898079811214856
220,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38965282657102795
225,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.3894862850909222
230,grid,corr,0.1,1e-05,0.0,0.0011032843031464471,0.0004668351994842183,5,0.38994075992685306
