Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39136267509587397
5,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3992559650334345
10,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3988951703133835
15,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3975891131603083
20,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39543753206363796
25,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39484001673014113
30,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39400459928196396
35,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3939805391039872
40,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39204606947169396
45,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3911853014771183
50,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.38930948737111415
55,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3886965207521702
60,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.38724490205710516
65,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.38889360612865453
70,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3906047908425654
75,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3904999948626072
80,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3901445009818235
85,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3899486162808349
90,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.38860822380136173
95,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3894618656883684
100,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39016703020367205
105,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3885083747166158
110,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.38882505194114325
115,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3906100399964012
120,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39188639898714484
125,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3955529518703982
130,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3968655079318818
135,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3994830769275861
140,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39962737051765096
145,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.3986404078283676
150,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40157478592142337
155,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40231867792461395
160,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40151372190004964
165,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4007960356393355
170,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.39728108910485516
175,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40072387773423224
180,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40183847342565404
185,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4021549664938814
190,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4066336818007502
195,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4059794413086112
200,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40551770224674044
205,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4054222045441429
210,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4050463092862875
215,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4075003112267118
220,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40585883005141876
225,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4079891474982792
230,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4096881989944915
235,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4099850213893289
240,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4106458244707738
245,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4078890334227385
250,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.41019101267342195
255,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40877019398515835
260,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40571761417919994
265,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4088089150756409
270,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.41071872804134657
275,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4102187042701524
280,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40975753285022476
285,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.41153347065500445
290,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4122383106890569
295,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4114513857409342
300,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.41117906742408317
305,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4116956189156963
310,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4122694945666766
315,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4101842364239464
320,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.41075333387015245
325,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4110362472648289
330,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4099105708321823
335,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.40650174589708477
340,grid,corr,0.001,0.1,0.0,3.9566057768010516,18.66222295919201,5,0.4055669897728188
