Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39136267509587397
5,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39152449605668826
10,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39177600741123786
15,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39165454172297864
20,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3915237446784269
25,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39150777681340254
30,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3913693190480906
35,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3917726336915318
40,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3914836054866556
45,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39140583713613475
50,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39159808459353895
55,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3918480720696883
60,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3914881586738692
65,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39164163389261797
70,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3917118135865867
75,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39149610105775534
80,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39162380885774073
85,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3918405389642333
90,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3916742276196833
95,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.391569866281536
100,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3915856897739969
105,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39175131365500804
110,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39175784449310713
115,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39173396168097274
120,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3916592479443636
125,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39169552948987363
130,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.391492663639432
135,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3920178854450175
140,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3917353046374288
145,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.391640656221076
150,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3919694836878147
155,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39175211557108425
160,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.3915408045411145
165,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.391585569106077
170,grid,corr,0.05,1e-05,0.0,0.0014456828799849998,0.00011605550064451606,5,0.39159413937928045
