Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39136267509587397
5,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39136958939145194
10,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39162762015263597
15,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915230970126381
20,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39142477864539726
25,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3914151174303204
30,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39128528231096993
35,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3916914812145378
40,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39142888238464935
45,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39136074653421327
50,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915866867778357
55,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39184846227533154
60,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915046805065816
65,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39162615409523993
70,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39166172443497826
75,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3914396576279091
80,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39157148063928326
85,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3917926073161594
90,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3916431174961419
95,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915169111822444
100,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915162955900745
105,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3917109241550979
110,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3917072348579286
115,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3916460450607392
120,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3915421368627311
125,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.39150825328796557
130,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3912729106401578
135,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3917564603618727
140,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3914613373943162
145,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.391379888708722
150,grid,corr,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,7,0.3916577117162282
