,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,grid,0.001,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,5000,0.39145945347478134
1,grid,0.001,1e-05,0.0,0.0007964973685261488,0.00034414396522248385,5000,0.3914641566361003
2,grid,0.001,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,5000,0.39146661951334794
3,grid,0.001,0.0001,0.0,0.002916750926997164,0.013757513178394187,5000,0.3911912876952358
4,grid,0.001,0.0001,0.0,0.007964973685261487,0.003441439652224838,5000,0.39123808630344076
5,grid,0.001,0.0001,0.0,0.010657359156335793,0.0008555438883317213,5000,0.3912629492165418
6,grid,0.001,0.001,0.0,0.029167509269971643,0.13757513178394187,5000,0.3885240441527425
7,grid,0.001,0.001,0.0,0.07964973685261487,0.03441439652224838,5000,0.38898900119518043
8,grid,0.001,0.001,0.0,0.10657359156335793,0.008555438883317211,5000,0.3892378241592429
9,grid,0.001,0.01,0.0,0.2916750926997165,1.3757513178394187,5000,0.3633482919967781
10,grid,0.001,0.01,0.0,0.7964973685261487,0.3441439652224838,5000,0.3677410195915661
11,grid,0.001,0.01,0.0,1.0657359156335793,0.08555438883317211,5000,0.37016282045460286
12,grid,0.001,0.1,0.0,2.9167509269971643,13.75751317839419,5000,0.2282070789953805
13,grid,0.001,0.1,0.0,7.964973685261487,3.4414396522248385,5000,0.2587209443526713
14,grid,0.001,0.1,0.0,10.657359156335794,0.8555438883317213,5000,0.2812824340229984
15,grid,0.005,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,5000,0.39133017913534485
16,grid,0.005,1e-05,0.0,0.0007964973685261488,0.00034414396522248385,5000,0.3913535815629017
17,grid,0.005,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,5000,0.3913660557854281
18,grid,0.005,0.0001,0.0,0.002916750926997164,0.013757513178394187,5000,0.38999236743736654
19,grid,0.005,0.0001,0.0,0.007964973685261487,0.003441439652224838,5000,0.3902255073818567
20,grid,0.005,0.0001,0.0,0.010657359156335793,0.0008555438883317213,5000,0.39034997856982756
21,grid,0.005,0.001,0.0,0.029167509269971643,0.13757513178394187,5000,0.37699488222505995
22,grid,0.005,0.001,0.0,0.07964973685261487,0.03441439652224838,5000,0.379259906531066
23,grid,0.005,0.001,0.0,0.10657359156335793,0.008555438883317211,5000,0.3804877885284684
24,grid,0.005,0.01,0.0,0.2916750926997165,1.3757513178394187,5000,0.2817049310998225
25,grid,0.005,0.01,0.0,0.7964973685261487,0.3441439652224838,5000,0.29922984390917373
26,grid,0.005,0.01,0.0,1.0657359156335793,0.08555438883317211,5000,0.3104609681727025
27,grid,0.005,0.1,0.0,2.9167509269971643,13.75751317839419,5000,0.12131190749699582
28,grid,0.005,0.1,0.0,7.964973685261487,3.4414396522248385,5000,0.3399410332980776
29,grid,0.005,0.1,0.0,10.657359156335794,0.8555438883317213,5000,0.5191522905345034
30,grid,0.01,1e-05,0.0,0.0002916750926997164,0.0013757513178394188,5000,0.3911808314479253
31,grid,0.01,1e-05,0.0,0.0007964973685261488,0.00034414396522248385,5000,0.3912275607434768
32,grid,0.01,1e-05,0.0,0.0010657359156335793,8.555438883317214e-05,5000,0.3912523639029997
33,grid,0.01,0.0001,0.0,0.002916750926997164,0.013757513178394187,5000,0.3885136876181831
34,grid,0.01,0.0001,0.0,0.007964973685261487,0.003441439652224838,5000,0.3889780674214336
35,grid,0.01,0.0001,0.0,0.010657359156335793,0.0008555438883317213,5000,0.38922656435352526
36,grid,0.01,0.001,0.0,0.029167509269971643,0.13757513178394187,5000,0.3633445087380254
37,grid,0.01,0.001,0.0,0.07964973685261487,0.03441439652224838,5000,0.3677340727493201
38,grid,0.01,0.001,0.0,0.10657359156335793,0.008555438883317211,5000,0.3701536767521384
