Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,-1.0
0,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.3452071145997955
5,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.2780352728396398
10,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.2782780863700267
15,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.27225871344547714
20,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.28511923360570024
25,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.28520765581321217
30,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.30270376989523506
35,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.3163633168831642
40,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.3217380462081152
45,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.33713448399775114
50,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.3569888978430418
55,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.3885178921903172
60,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.4141476841670487
65,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.4354865365897853
70,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.4644544069628569
75,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.49454786965895425
80,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.5170744630028699
85,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.5412460152790103
90,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.5474131625621671
95,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.5810644721632507
100,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.6246390774668916
105,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.6325499190171701
110,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.678208574206517
115,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.7310437290734381
120,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.7114312676240581
125,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.758802208496549
130,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.8085738301064501
135,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.8137625039584021
140,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.8411852044127174
145,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.9279900328163467
150,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.9485783138298872
155,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.940869575578369
160,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,0.9709476389501305
165,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.0339885874079622
170,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.0646045288414205
175,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.1172918115670827
180,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.1356100967986786
185,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.1849672310907535
190,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.2129344960594683
195,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.2565953289028697
200,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.3178209157420286
205,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.3647081037942397
210,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.3990129229388697
215,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.428671041699313
220,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.471996460824382
225,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.5615376901011535
230,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.5317417169411067
235,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.5995167309031664
240,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.6525440726560383
245,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.719270969028543
250,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.7863787852112818
255,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.7831703956960498
260,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.7840740848241126
265,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.8933800830832115
270,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.9614941219761572
275,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,1.9814353537901486
280,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.0506866606375684
285,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.0982678072045844
290,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.1512409285329506
295,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.276023886770294
300,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.368988849373838
305,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.4436686148252815
310,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.5897499939493027
315,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.6860224267524746
320,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.7626347096002757
325,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.8026810484182882
330,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.816362919787512
335,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,2.9931703421152975
340,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.035823934319384
345,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.1512075192908573
350,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.374680120060646
355,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.4051283151963996
360,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.5183809136534077
365,grid,corr,0.01,0.1,0.6738010185558171,3.8039,10,3.721611824162528
