Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.3694190471536154
5,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.25621250063704626
10,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.250788744916978
15,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.250254633904858
20,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.24955177974711695
25,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.2480325219530506
30,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.2545283552697586
35,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.2654496617322252
40,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.2701375706987258
45,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.27817867374058614
50,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.2980982041402116
55,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.3011604280354728
60,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.3168239170881427
65,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.3362877291183558
70,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.3461027972367655
75,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.35639552792756224
80,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.36758854881544034
85,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.37749106626569817
90,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.38391706431510675
95,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.41406110362659254
100,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.4342419578973833
105,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.4353953345084257
110,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.45973153734190497
115,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.4743433358101604
120,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.4973304796121104
125,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.5261514626932529
130,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.5434876980744513
135,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.5842652193390594
140,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.5903916155748884
145,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.6130415796654223
150,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.6240613725430136
155,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.64146233943531
160,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.6722463141342662
165,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.6940590765563183
170,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.7140618989881048
175,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.7253559199387635
180,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.7545300118925248
185,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.7757138208776374
190,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.8034518646313812
195,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.8249667542995384
200,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.8329820301877541
205,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.8613479584982938
210,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.8865287300927066
215,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.9175603901996222
220,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.9536604433876242
225,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,0.9743567903572213
230,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.016017037818064
235,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.0327215780307242
240,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.0710611316352971
245,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.0801696121019009
250,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.0926167244685518
255,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.1114892280751394
260,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.1256610196144825
265,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.1797162106844907
270,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.1937306720938876
275,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.2132690574952947
280,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.252836989039329
285,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.258738682461412
290,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.2725880840356294
295,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.2746362124479695
300,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.3027420725487406
305,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.3461355608436594
310,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.357752556779876
315,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.378560661004384
320,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.3931960008758515
325,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.4156606548244932
330,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.432613879193449
335,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.4461595887117
340,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.4577924704798901
345,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.4917489209048616
350,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.5035237843202918
355,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.5200057273286327
360,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.5528219103430239
365,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.5595985472305856
370,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.5874192716904396
375,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.6092527632486346
380,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.6350668732971445
385,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.6405831198388565
390,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.6614235212399797
395,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.6932737079354987
400,grid,corr,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,10,1.7256034394217137
