Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,grid,corr,0.05,1,50.01676791587411,3.1032,10,-1.0
0,grid,corr,0.05,1,50.01676791587411,3.1032,10,0.3785013991937123
5,grid,corr,0.05,1,50.01676791587411,3.1032,10,31.276923781005184
10,grid,corr,0.05,1,50.01676791587411,3.1032,10,35.70498920110906
15,grid,corr,0.05,1,50.01676791587411,3.1032,10,36.94656814054845
20,grid,corr,0.05,1,50.01676791587411,3.1032,10,40.0682878332817
25,grid,corr,0.05,1,50.01676791587411,3.1032,10,46.54369509524225
30,grid,corr,0.05,1,50.01676791587411,3.1032,10,48.054366839192056
35,grid,corr,0.05,1,50.01676791587411,3.1032,10,46.311492465109325
40,grid,corr,0.05,1,50.01676791587411,3.1032,10,46.790600063298136
45,grid,corr,0.05,1,50.01676791587411,3.1032,10,44.68100653746382
50,grid,corr,0.05,1,50.01676791587411,3.1032,10,41.93659534270321
55,grid,corr,0.05,1,50.01676791587411,3.1032,10,46.65940299962657
60,grid,corr,0.05,1,50.01676791587411,3.1032,10,41.187081547296756
65,grid,corr,0.05,1,50.01676791587411,3.1032,10,34.41128586478417
70,grid,corr,0.05,1,50.01676791587411,3.1032,10,33.39611235060025
75,grid,corr,0.05,1,50.01676791587411,3.1032,10,40.35537233125546
80,grid,corr,0.05,1,50.01676791587411,3.1032,10,36.449939529523746
85,grid,corr,0.05,1,50.01676791587411,3.1032,10,45.414571425221496
90,grid,corr,0.05,1,50.01676791587411,3.1032,10,39.91866500857875
95,grid,corr,0.05,1,50.01676791587411,3.1032,10,30.064020082308854
100,grid,corr,0.05,1,50.01676791587411,3.1032,10,30.524047332219755
105,grid,corr,0.05,1,50.01676791587411,3.1032,10,30.67297826566359
110,grid,corr,0.05,1,50.01676791587411,3.1032,10,33.11404539693353
115,grid,corr,0.05,1,50.01676791587411,3.1032,10,33.73706889828955
120,grid,corr,0.05,1,50.01676791587411,3.1032,10,36.60281297979757
125,grid,corr,0.05,1,50.01676791587411,3.1032,10,30.315762748173572
130,grid,corr,0.05,1,50.01676791587411,3.1032,10,28.942061568103515
135,grid,corr,0.05,1,50.01676791587411,3.1032,10,32.602766321650684
140,grid,corr,0.05,1,50.01676791587411,3.1032,10,36.946679385081644
145,grid,corr,0.05,1,50.01676791587411,3.1032,10,32.69208283608708
150,grid,corr,0.05,1,50.01676791587411,3.1032,10,37.28747138135251
155,grid,corr,0.05,1,50.01676791587411,3.1032,10,38.534082587277595
