Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,0.37644243730622395
5,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.9470528521208452
10,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.8508849521666422
15,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.136542981381897
20,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.0813670861554168
25,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.8777312343662498
30,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.963744210266161
35,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.7736004014256368
40,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.0650793822719207
45,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.1239124383323733
50,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.969345414526226
55,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.9674552106592245
60,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.0912108260577593
65,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.137275705814253
70,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.832965414647819
75,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,1.9113649210796844
80,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.0614816635252016
85,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.3030820538347907
90,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.444465493099353
95,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.27139224157379
100,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.19693807868117
105,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.134543010801276
110,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.249326511640295
115,grid,corr,0.1,0.1,0.0,8.031273039270017,1e-07,10,2.0687076013835664
