,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
38,grid,0.05,0.001,0.0,0.07908345390709762,1e-07,5000,0.22645290105841204
5,grid,0.005,0.005,0.0,0.39541726953548806,0.030030129729729727,5000,0.2376541086557872
0,grid,0.005,0.001,0.0,0.022536735569380153,0.07007016936936937,5000,0.2611560372648368
56,grid,0.1,0.001,0.0,0.07908345390709762,1e-07,5000,0.28078523680646106
74,grid,0.5,0.001,0.0,0.07908345390709762,1e-07,5000,0.28856079117930555
20,grid,0.01,0.001,0.0,0.07908345390709762,1e-07,5000,0.3366984114330841
14,grid,0.005,0.1,0.0,8.031273039270017,1e-07,5000,0.3471573215265883
2,grid,0.005,0.001,0.0,0.07908345390709762,1e-07,5000,0.34825490647643526
1,grid,0.005,0.001,0.0,0.054497924195046545,0.030030129729729727,5000,0.502727780831132
19,grid,0.01,0.001,0.0,0.054497924195046545,0.030030129729729727,5000,0.5882298967799302
8,grid,0.005,0.01,0.0,0.7908345390709761,0.07007016936936937,5000,0.6007538161649566
32,grid,0.01,0.1,0.0,8.031273039270017,1e-07,5000,0.6226722816871825
23,grid,0.01,0.005,0.0,0.39541726953548806,0.030030129729729727,5000,0.6324092397447243
4,grid,0.005,0.005,0.0,0.2601968561192072,0.15015024864864865,5000,0.8527491584479886
11,grid,0.005,0.05,0.0,3.954172695354881,0.3103104072072072,5000,0.9834940667948178
26,grid,0.01,0.01,0.0,0.7908345390709761,0.07007016936936937,5000,1.0564952990148715
37,grid,0.05,0.001,0.0,0.054497924195046545,0.030030129729729727,5000,1.2100339948187293
18,grid,0.01,0.001,0.0,0.022536735569380153,0.07007016936936937,5000,1.2900636302540711
3,grid,0.005,0.005,0.0,0.11883006027491352,0.3103104072072072,5000,1.57051614388039
22,grid,0.01,0.005,0.0,0.2601968561192072,0.15015024864864865,5000,1.725158101558099
41,grid,0.05,0.005,0.0,0.39541726953548806,0.030030129729729727,5000,1.9280239601908782
17,grid,0.005,0.5,0.0,40.15636519635009,1e-07,5000,2.2497494188879865
55,grid,0.1,0.001,0.0,0.054497924195046545,0.030030129729729727,5000,2.2927289265827815
29,grid,0.01,0.05,0.0,3.954172695354881,0.3103104072072072,5000,3.279079311477539
21,grid,0.01,0.005,0.0,0.11883006027491352,0.3103104072072072,5000,3.7452921896352613
7,grid,0.005,0.01,0.0,0.53268647709444,0.3103104072072072,5000,4.913688216094642
50,grid,0.05,0.1,0.0,8.031273039270017,1e-07,5000,4.976918434728321
6,grid,0.005,0.01,0.0,0.23766012054982705,0.6206207144144144,5000,5.295064022995789
44,grid,0.05,0.01,0.0,0.7908345390709761,0.07007016936936937,5000,5.560404352046059
35,grid,0.01,0.5,0.0,40.15636519635009,1e-07,5000,7.693610829182773
36,grid,0.05,0.001,0.0,0.022536735569380153,0.07007016936936937,5000,8.380291868324674
40,grid,0.05,0.005,0.0,0.2601968561192072,0.15015024864864865,5000,9.667505240870438
47,grid,0.05,0.05,0.0,3.954172695354881,0.3103104072072072,5000,10.541956805226697
68,grid,0.1,0.1,0.0,8.031273039270017,1e-07,5000,11.304659510271847
59,grid,0.1,0.005,0.0,0.39541726953548806,0.030030129729729727,5000,12.26943345354549
54,grid,0.1,0.001,0.0,0.022536735569380153,0.07007016936936937,5000,13.021415099703688
25,grid,0.01,0.01,0.0,0.53268647709444,0.3103104072072072,5000,15.73549575703847
28,grid,0.01,0.05,0.0,2.4790409126318167,1.561561645945946,5000,17.968953423480666
16,grid,0.005,0.5,0.0,38.312450467946256,5.005005054954955,5000,19.373523746157293
43,grid,0.05,0.01,0.0,0.53268647709444,0.3103104072072072,5000,21.86918486138745
9,grid,0.005,0.05,0.0,1.06537295418888,5.005005054954955,5000,21.916249995206943
39,grid,0.05,0.005,0.0,0.11883006027491352,0.3103104072072072,5000,23.453281855959236
42,grid,0.05,0.01,0.0,0.23766012054982705,0.6206207144144144,5000,24.326208598623264
45,grid,0.05,0.05,0.0,1.06537295418888,5.005005054954955,5000,24.359680287130516
58,grid,0.1,0.005,0.0,0.2601968561192072,0.15015024864864865,5000,24.605846445135747
71,grid,0.1,0.5,0.0,40.15636519635009,1e-07,5000,27.42240643620882
77,grid,0.5,0.005,0.0,0.39541726953548806,0.030030129729729727,5000,27.453742306799906
24,grid,0.01,0.01,0.0,0.23766012054982705,0.6206207144144144,5000,29.021070801436167
48,grid,0.05,0.1,0.0,2.253673556938015,7.507507532432433,5000,29.52044501242005
73,grid,0.5,0.001,0.0,0.054497924195046545,0.030030129729729727,5000,30.024024895136364
79,grid,0.5,0.01,0.0,0.53268647709444,0.3103104072072072,5000,30.628072676301965
80,grid,0.5,0.01,0.0,0.7908345390709761,0.07007016936936937,5000,32.60892484022892
46,grid,0.05,0.05,0.0,2.4790409126318167,1.561561645945946,5000,36.56135914429182
12,grid,0.005,0.1,0.0,2.253673556938015,7.507507532432433,5000,36.71574207157365
75,grid,0.5,0.005,0.0,0.11883006027491352,0.3103104072072072,5000,37.40878892582038
34,grid,0.01,0.5,0.0,38.312450467946256,5.005005054954955,5000,37.6849878481454
31,grid,0.01,0.1,0.0,5.0810094738238885,3.123123191891892,5000,39.33207550803595
72,grid,0.5,0.001,0.0,0.022536735569380153,0.07007016936936937,5000,39.95141802406156
52,grid,0.05,0.5,0.0,38.312450467946256,5.005005054954955,5000,40.16489195503589
65,grid,0.1,0.05,0.0,3.954172695354881,0.3103104072072072,5000,40.22188488134812
66,grid,0.1,0.1,0.0,2.253673556938015,7.507507532432433,5000,41.011224338422124
15,grid,0.005,0.5,0.0,35.85389749674115,5.005005054954955,5000,41.11584800355121
33,grid,0.01,0.5,0.0,35.85389749674115,5.005005054954955,5000,42.02512171495602
88,grid,0.5,0.5,0.0,38.312450467946256,5.005005054954955,5000,42.19234568835141
13,grid,0.005,0.1,0.0,5.0810094738238885,3.123123191891892,5000,42.50131260989834
83,grid,0.5,0.05,0.0,3.954172695354881,0.3103104072072072,5000,43.117333051364426
51,grid,0.05,0.5,0.0,35.85389749674115,5.005005054954955,5000,44.38294147745544
70,grid,0.1,0.5,0.0,38.312450467946256,5.005005054954955,5000,46.64766189708367
27,grid,0.01,0.05,0.0,1.06537295418888,5.005005054954955,5000,47.416945752206004
89,grid,0.5,0.5,0.0,40.15636519635009,1e-07,5000,47.72013159070061
84,grid,0.5,0.1,0.0,2.253673556938015,7.507507532432433,5000,47.73491363450083
53,grid,0.05,0.5,0.0,40.15636519635009,1e-07,5000,47.998445964071635
81,grid,0.5,0.05,0.0,1.06537295418888,5.005005054954955,5000,48.69550283700493
87,grid,0.5,0.5,0.0,35.85389749674115,5.005005054954955,5000,50.36257050223353
49,grid,0.05,0.1,0.0,5.0810094738238885,3.123123191891892,5000,50.57937940985335
67,grid,0.1,0.1,0.0,5.0810094738238885,3.123123191891892,5000,53.07795419973882
60,grid,0.1,0.01,0.0,0.23766012054982705,0.6206207144144144,5000,54.11657790661568
10,grid,0.005,0.05,0.0,2.4790409126318167,1.561561645945946,5000,58.1875511418269
30,grid,0.01,0.1,0.0,2.253673556938015,7.507507532432433,5000,59.45356435096778
85,grid,0.5,0.1,0.0,5.0810094738238885,3.123123191891892,5000,60.30514961956547
62,grid,0.1,0.01,0.0,0.7908345390709761,0.07007016936936937,5000,61.88731549184826
78,grid,0.5,0.01,0.0,0.23766012054982705,0.6206207144144144,5000,61.93990433827736
61,grid,0.1,0.01,0.0,0.53268647709444,0.3103104072072072,5000,61.94104381208838
63,grid,0.1,0.05,0.0,1.06537295418888,5.005005054954955,5000,63.91631911888725
69,grid,0.1,0.5,0.0,35.85389749674115,5.005005054954955,5000,64.63868339697488
86,grid,0.5,0.1,0.0,8.031273039270017,1e-07,5000,65.61123401552449
76,grid,0.5,0.005,0.0,0.2601968561192072,0.15015024864864865,5000,65.87731290023518
64,grid,0.1,0.05,0.0,2.4790409126318167,1.561561645945946,5000,66.69341604410991
82,grid,0.5,0.05,0.0,2.4790409126318167,1.561561645945946,5000,66.89319162704086
