,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
73,ring,0.5,0.001,0.0,0.07539562445028997,1e-05,5000,0.20040319411252255
26,ring,0.01,0.01,0.0,0.7908345390709761,1e-05,5000,0.2140189742128947
38,ring,0.05,0.001,0.0,0.07908345390709762,1e-05,5000,0.22629240158895653
37,ring,0.05,0.001,0.0,0.07539562445028997,1e-05,5000,0.2271238266829
55,ring,0.1,0.001,0.0,0.07539562445028997,1e-05,5000,0.24563344526373385
41,ring,0.05,0.005,0.0,0.39541726953548806,1e-05,5000,0.2477494101829377
59,ring,0.1,0.005,0.0,0.39541726953548806,1e-05,5000,0.25792324299705094
8,ring,0.005,0.01,0.0,0.7908345390709761,1e-05,5000,0.27790103965430213
56,ring,0.1,0.001,0.0,0.07908345390709762,1e-05,5000,0.28108165077928376
23,ring,0.01,0.005,0.0,0.39541726953548806,1e-05,5000,0.2811812730364109
74,ring,0.5,0.001,0.0,0.07908345390709762,1e-05,5000,0.2889746931287294
5,ring,0.005,0.005,0.0,0.39541726953548806,1e-05,5000,0.2936770424143373
0,ring,0.005,0.001,0.0,0.02868311799739292,0.10011009009009009,5000,0.30537119122877704
19,ring,0.01,0.001,0.0,0.07539562445028997,1e-05,5000,0.3238341617462659
20,ring,0.01,0.001,0.0,0.07908345390709762,1e-05,5000,0.33664753846075907
2,ring,0.005,0.001,0.0,0.07908345390709762,1e-05,5000,0.3482295835398986
1,ring,0.005,0.001,0.0,0.07539562445028997,1e-05,5000,0.372800410120214
44,ring,0.05,0.01,0.0,0.7908345390709761,1e-05,5000,0.5678838570699687
62,ring,0.1,0.01,0.0,0.7908345390709761,1e-05,5000,0.7426544975033897
11,ring,0.005,0.05,0.0,3.954172695354881,0.3003102702702703,5000,0.9467683819210401
4,ring,0.005,0.005,0.0,0.24790409126318164,0.3003102702702703,5000,1.801613928875624
18,ring,0.01,0.001,0.0,0.02868311799739292,0.10011009009009009,5000,1.8278127488622482
77,ring,0.5,0.005,0.0,0.39541726953548806,1e-05,5000,1.8658580471950064
29,ring,0.01,0.05,0.0,3.954172695354881,0.3003102702702703,5000,3.114283864508057
14,ring,0.005,0.1,0.0,7.908345390709762,0.7007106306306305,5000,4.471418373042212
80,ring,0.5,0.01,0.0,0.7908345390709761,1e-05,5000,4.989880492710594
22,ring,0.01,0.005,0.0,0.24790409126318164,0.3003102702702703,5000,7.067401658808442
3,ring,0.005,0.005,0.0,0.11883006027491352,0.7007106306306305,5000,7.979352540280062
47,ring,0.05,0.05,0.0,3.954172695354881,0.3003102702702703,5000,10.178681797764362
21,ring,0.01,0.005,0.0,0.11883006027491352,0.7007106306306305,5000,13.890274158206967
36,ring,0.05,0.001,0.0,0.02868311799739292,0.10011009009009009,5000,15.609060112780353
54,ring,0.1,0.001,0.0,0.02868311799739292,0.10011009009009009,5000,17.77786620413788
7,ring,0.005,0.01,0.0,0.5203937122384144,0.5005104504504504,5000,18.171494666586614
