Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,-1.0
0,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,0.37695371377904874
5,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,27.94669187518282
10,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,39.534575256274174
15,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,43.390710468479575
20,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,45.475125840734506
25,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,47.09539196753836
30,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,48.069359361461956
35,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,48.96176167295301
40,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,49.448466221041265
45,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,49.89660204464956
50,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.014727881035604
55,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.10643065023738
60,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.276301936249155
65,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.64892239810082
70,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.50733560195054
75,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.67648982550957
80,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,50.85804661672967
85,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.202470448099405
90,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.45064367926935
95,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.40386918132022
100,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.538445082247286
105,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,51.6008496127311
