Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,-1.0
0,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3105604704918179
5,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31116297638207935
10,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29962482190560613
15,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3224394454151016
20,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3113140089076175
25,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3111735693711004
30,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3180499066395691
35,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3362583567177544
40,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30663336023090915
45,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30885861075011467
50,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2900884088677662
55,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29882065539959013
60,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30722224008570487
65,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3041840212451905
70,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30106165145179176
75,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3010010737212254
80,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30753914469107524
85,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28997811017538055
90,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3116003753502786
95,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3282862778313467
100,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30843458844728844
105,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31083883458542994
110,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3031342687575056
115,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3026177847822853
120,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31428183931615883
125,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3257332141728313
130,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31246297299096537
135,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.33333347824751247
140,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3317071973874104
145,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30071188465074883
150,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30190465609283035
155,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3166856101055938
160,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30242732931411576
165,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3109075103318296
170,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3068549496896882
175,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3109638683951229
180,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31422839284810267
185,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3162346075341712
190,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3320373384529305
195,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3295462869472686
200,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3181881846554506
205,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3162567013895389
210,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2988638135878796
215,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2980809582212399
220,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30233630490342256
225,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2864687185479613
230,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2947429953176721
235,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29461918457522096
240,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29544494537399757
245,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3037307094027213
250,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3007513511922191
255,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3086306815051618
260,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30080517876010593
265,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3074950639089554
270,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30857669501332485
275,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3163070397080123
280,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3213732640128051
285,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3174150485982741
290,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3137476733838619
295,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3133858864850714
300,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31492280196072786
305,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3038294337408354
310,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.301011614224162
315,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30184068875871717
320,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30341531643586317
325,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.302897720433036
330,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29201011828807977
