Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150828064890033
5,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4154331829836737
10,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150117189290067
15,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41491218497237536
20,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41469682515092954
25,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41502621704515263
30,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41511378610197225
35,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4153172890622705
40,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41458334665614227
45,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149355364052223
50,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4145548706109613
55,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415302680191996
60,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149669759843734
65,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149575251739722
70,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4152430475682789
75,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4146068900020978
80,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4147610058547566
85,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41517420252624004
90,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149021222385364
95,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150281066258036
100,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4148778340315128
105,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41477739408440706
110,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4151289638051632
115,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4156222926496064
120,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4148455135183453
125,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41483609641370023
130,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415060796685494
135,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4152633914969198
140,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415101953294294
145,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41470261235094585
150,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4153710857286288
155,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4152256760828129
160,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41484929828078276
165,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41498223969541126
170,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41499111316952353
175,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41459963385703413
180,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41522150529076973
185,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.414957001879395
190,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41485753483865273
195,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41502516485478347
200,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150728381658837
205,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41500277217043646
210,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41499270319329584
215,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41500885728715875
220,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150291341446857
225,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41501549850708264
230,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41541059343606856
235,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4151817931831677
240,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41565827156361523
245,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41496345310476235
250,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4144656148504158
255,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41498960395314943
260,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4151718864684155
265,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41519286637138175
270,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149350807050822
275,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4146489085796431
280,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4146860236255496
285,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415082403787565
290,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41462460518027233
295,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41509629125547276
300,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41497831885618397
305,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4151246057953296
310,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41480314487008874
315,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4153028968699447
320,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415056039000416
325,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41496265485106076
330,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4152700476886787
335,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149441001628297
340,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41491194789254093
345,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41540558538685446
350,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4148865834247596
355,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41477847787921285
360,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41470706563280246
365,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41492990276014097
370,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150835664303222
375,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41462683333265293
380,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150415671326133
385,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41490237045102374
390,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41488152969091363
395,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41464358215356356
400,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4152043392499961
405,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4149508282817401
410,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.415240072637033
415,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4146637673535286
420,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4156924386067259
425,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.4150974484882095
430,ring,corr,0.0001,0.0001,0.0,0.023273880627864334,1e-07,3,0.41470911253129195
