Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.34802278843423107
5,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.36256806808701425
10,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3664308408265067
15,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3675604264465585
20,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3684864690406435
25,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.36698512419605933
30,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.36702905473801206
35,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3697821181065869
40,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.36866420252742327
45,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3694137250984135
50,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.37185760728084405
55,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3748665440336203
60,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3733374077379408
65,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.37453954154034763
70,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3797092534001425
75,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.379704941576532
80,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.38143728156329404
85,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.381786620569197
90,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3845702985656009
95,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.39031884787089666
100,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.3961337005360501
105,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4038519616853795
110,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4088302440100471
115,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4073617996707972
120,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.41334155490909275
125,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4150346464612015
130,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.41438512469635613
135,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.42268393531237336
140,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.42600900575339984
145,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.42850593363533096
150,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4315081658199691
155,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43769215289260854
160,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43300063727666127
165,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43324032531006196
170,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43524480646584696
175,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4332155314126507
180,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.42976787597101596
185,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43837738229911205
190,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.43981118601109437
195,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4501261458558926
200,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4506607152574488
205,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4471607459434115
210,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4507110852943953
215,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.447933296466806
220,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4504089041567849
225,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.45714813079511796
230,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4597834415677712
235,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.45834858933037637
240,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.45582664250813976
245,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4576481611387653
250,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.45794524700311734
255,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.46286743388838647
260,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4726257048996595
265,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4771075536191439
270,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.48362329734625187
275,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.48842735178364327
280,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.4935558483174195
285,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.5033938606276792
290,ring,corr,0.005,0.01,0.0,2.3273880627864334,0.3103104072072072,3,0.5091772651634412
