Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37938264946282485
5,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793177316229902
10,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3789906794083854
15,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37924530587743455
20,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3790483709746584
25,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791997660538292
30,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792164131160102
35,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793004070581708
40,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37916199487576563
45,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37934097997001415
50,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792590279726299
55,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792669347592724
60,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793717019636066
65,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.379155308252921
70,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37924409156473526
75,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37939812104163706
80,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792795590264505
85,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37917426026782686
90,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793397942732325
95,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37899474920540255
100,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792117423128919
105,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37922445669956184
110,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791008647345344
115,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793594247360911
120,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37952173039753867
125,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37967868186846987
130,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3795140876669365
135,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3794935616481844
140,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3789843955633446
145,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791585638413323
150,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37901292099175266
155,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37952424290289477
160,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793569012176652
165,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791035928532016
170,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3787107526235197
175,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3795322745225199
180,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792743948193724
185,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37946702811296873
190,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791418828383588
195,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37946911022797725
200,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37929764550031464
205,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37882620124258326
210,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37905866164016244
215,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37934782677868417
220,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3795001068131758
225,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793106174754859
230,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37931459595097405
235,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791451029611501
240,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792440046641997
245,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37910957623006225
250,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791449497372753
255,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3794751416741796
260,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793263535623489
265,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37960586231969073
270,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3789969822401591
275,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37919403826806064
280,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3789624276434874
285,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37924860607717237
290,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37945407249417373
295,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37912283052878337
300,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793813404000642
305,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3790599137448921
310,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37876766512911375
315,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37913380811310415
320,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3788630428187074
325,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37895572386902143
330,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3790119054800737
335,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3785449713133565
340,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37904085879095295
345,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3793896068989727
350,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3788742881218119
355,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37884500793873976
360,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3795567248673345
365,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37879107018607694
370,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37915018068933426
375,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3791694236899953
380,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37906280607486187
385,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37897132641235665
390,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3794649197553124
395,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3790361725718402
400,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3795215711889085
405,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37917833131508505
410,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37962543720155995
415,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3792728821444281
420,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3794290212738086
425,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3794965688469464
430,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37895527108967186
435,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37896486061345
440,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37883578795338657
445,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37922345803647417
450,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.37898724683036933
455,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.379063871612631
460,ring,corr,0.01,1e-05,0.0,0.0023273880627864337,1e-07,3,0.3789919501486181
