Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.39136267509587397
5,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3892106832143548
10,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3883001111995069
15,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3868693448014081
20,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3852464524158157
25,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3840206247158
30,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.38269466279677333
35,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3819004319686804
40,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3803559155681743
45,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3789993197390933
50,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.377643311965041
55,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.37674089472782313
60,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3750787145993345
65,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3746555319219462
70,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.374293790102293
75,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3731585999920888
80,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.372074363976704
85,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3713384224511347
90,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36981542968975545
95,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36905504113017984
100,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3684028320459306
105,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36711099843876294
110,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3663457806681697
115,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36569059898340495
120,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36503405994942684
125,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3651011255655007
130,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3641561123898841
135,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3641143724581535
140,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36298230155670685
145,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3619732387462312
150,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36185177107428323
155,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.36079859035910755
160,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3594788821107986
165,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3588228824964249
170,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.35708272446776934
175,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.35710352568510095
180,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3562619808642893
185,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3555507074556524
190,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3551372713096227
195,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3548617914752874
200,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.35389535480036816
205,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.35268148317361536
210,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3521048034857809
215,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.35157878075059523
220,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3506477948911111
225,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34991408320281436
230,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3494795940294765
235,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3490958352378658
240,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34795275907414736
245,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3464572957198693
250,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34628549419221755
255,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34531799669779706
260,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3434749771598794
265,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34383866607782554
270,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3437783954999768
275,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34222657311642923
280,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34185087338859255
285,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.34095608528703114
290,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3405881624872318
295,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3393514899329534
300,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.3385879053692865
305,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.33827323607233684
310,ring,corr,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5,0.33780996041885125
