,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,ring,0.001,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.38929809185243425
1,ring,0.001,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.39038152160659284
2,ring,0.001,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.3911992601170491
3,ring,0.001,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.37047079918894915
4,ring,0.001,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.38064769599407444
5,ring,0.001,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.38861689788470627
6,ring,0.001,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.2640619063241512
7,ring,0.001,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.30505672208983864
8,ring,0.001,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.36426055069779445
9,ring,0.001,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,1.3230599252619955
10,ring,0.001,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,0.5918711876779732
11,ring,0.001,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,0.25243046639352673
12,ring,0.001,0.1,0.0,4.641402930478157,18.66222295919201,5000,16.583300149061152
13,ring,0.001,0.1,0.0,10.348045877787367,9.332975649625459,5000,9.614010566280696
14,ring,0.001,0.1,0.0,14.456828799849998,2.3173816728314134,5000,1.6381262117131012
15,ring,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.3807294277269304
16,ring,0.005,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.38599866749226625
17,ring,0.005,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.3900383415838467
18,ring,0.005,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.3056696160397331
19,ring,0.005,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.34222575603434036
20,ring,0.005,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.3774579259436924
21,ring,0.005,0.001,0.0,0.046414029304781564,0.18662222959192,5000,0.5945764379669389
22,ring,0.005,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.3075638617228403
23,ring,0.005,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.2873475454377706
24,ring,0.005,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,9.596097108213044
25,ring,0.005,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,4.189338474671087
26,ring,0.005,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,0.7361163282624879
27,ring,0.005,0.1,0.0,4.641402930478157,18.66222295919201,5000,24.996797796473746
28,ring,0.005,0.1,0.0,10.348045877787367,9.332975649625459,5000,22.684396020590196
29,ring,0.005,0.1,0.0,14.456828799849998,2.3173816728314134,5000,11.521487518381488
30,ring,0.01,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.370461897079146
31,ring,0.01,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.38063646551758457
32,ring,0.01,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.38860679888879485
33,ring,0.01,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.2640675903821035
34,ring,0.01,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.3050643888278534
35,ring,0.01,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.36425342205779937
36,ring,0.01,0.001,0.0,0.046414029304781564,0.18662222959192,5000,1.3226330034819804
37,ring,0.01,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,0.5916828348841245
38,ring,0.01,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.2524270608860003
39,ring,0.01,0.01,0.0,0.4641402930478156,1.8662222959192003,5000,16.58117321455194
40,ring,0.01,0.01,0.0,1.0348045877787364,0.9332975649625456,5000,9.611428663573784
41,ring,0.01,0.01,0.0,1.4456828799849994,0.23173816728314123,5000,1.637637057579277
42,ring,0.01,0.1,0.0,4.641402930478157,18.66222295919201,5000,26.0369991579431
43,ring,0.01,0.1,0.0,10.348045877787367,9.332975649625459,5000,25.034273654297813
44,ring,0.01,0.1,0.0,14.456828799849998,2.3173816728314134,5000,18.485646508211328
45,ring,0.05,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5000,0.3056922787196139
46,ring,0.05,1e-05,0.0,0.0010348045877787368,0.0009332975649625456,5000,0.3422242548348752
47,ring,0.05,1e-05,0.0,0.0014456828799849998,0.00023173816728314127,5000,0.3774205919688467
48,ring,0.05,0.0001,0.0,0.0046414029304781565,0.018662222959192006,5000,0.5939367509335632
49,ring,0.05,0.0001,0.0,0.010348045877787366,0.009332975649625456,5000,0.3073613304239614
50,ring,0.05,0.0001,0.0,0.014456828799849995,0.0023173816728314124,5000,0.2873711190744968
51,ring,0.05,0.001,0.0,0.046414029304781564,0.18662222959192,5000,9.586040808022407
52,ring,0.05,0.001,0.0,0.10348045877787365,0.09332975649625455,5000,4.184718073128598
53,ring,0.05,0.001,0.0,0.14456828799849997,0.02317381672831412,5000,0.735314506959484
