Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39136267509587397
5,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39137186013982284
10,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916296689333384
15,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915247266971551
20,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3914257296826551
25,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39141583810056646
30,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3912857466193227
35,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39169176980522813
40,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3914286025406506
45,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3913601658125755
50,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915853961970285
55,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39184684477991094
60,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39150267850391585
65,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916245972357676
70,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39166067415021344
75,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39143860729191815
80,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915702274449919
85,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3917911766641221
90,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39164125285992657
95,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39151531802745065
100,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.391514903462858
105,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39170889393633157
110,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3917052628127389
115,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916446390391567
120,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39154112034081967
125,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39150836850361126
130,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3912734718929737
135,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3917576287032918
140,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39146261323564613
145,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3913808487501108
150,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916594279330743
155,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39142161060044656
160,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39121560925270604
165,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3912697416705967
170,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39133598385043866
175,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39170252649935655
180,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3913472649342121
185,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39143359708916214
190,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39147809245536036
195,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3917526432799394
200,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915261594785794
205,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915223410590064
210,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39179317078218
215,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39167098248342835
220,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915880363111409
225,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39142420770350883
230,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39191252069314686
235,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3917739714367916
240,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3912627203015545
245,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3914753819492659
250,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.391347079670755
255,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915604864309049
260,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3913892137313465
265,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915515951251263
270,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916829260929854
275,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915484670425995
280,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39155551893897544
285,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.391908422954644
290,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.391437397132376
295,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39172633852389604
300,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39162499746248713
305,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.391634215597223
310,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39162863072204035
315,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3916001206864028
320,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39141162640565386
325,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39158873779518844
330,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3915173807366811
335,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3913916442242297
340,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39154673949280094
345,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39185290884596424
350,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.39150076144580126
355,ring,corr,0.005,1e-05,0.0,0.0004641402930478157,0.0018662222959192004,5,0.3914505081746612
