Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,-1.0
0,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4081126532601318
5,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41399820579612245
10,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41478139708694295
15,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4107815200968029
20,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4119818506178635
25,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.40841496166877245
30,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4091150808093136
35,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.408079729746442
40,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4082207444919119
45,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.40716113857476177
50,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.40765073166623134
55,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4092561753215923
60,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4088552466087194
65,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.40836369904018754
70,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4082925967993525
75,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4077270018970127
80,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41140042404586374
85,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4120891699472421
90,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41255418104569397
95,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41248119462360944
100,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4132685545331529
105,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4136864394963151
110,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41284931487868715
115,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.41643702519317505
120,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.416772569586742
125,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4166401572538483
130,ring,corr,0.05,0.0,0.001,0.050016767915874116,1e-05,10,0.4185398610472315
