Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
-1,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,-1.0
0,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,0.4028729475353101
5,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.343281029521663
10,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,12.084057725193357
15,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,13.164897228277573
20,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.830550624172602
25,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.41251210535553
30,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,8.216459051321575
35,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,13.853325515709942
40,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,8.52371540675828
45,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,8.918293770504405
50,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,18.670137718725698
55,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.194586686344223
60,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.056875074921766
65,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.0335969896316
70,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.709637661899198
75,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.805416914956393
80,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.684631511210995
85,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,17.106133749890304
90,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,14.090998069266586
95,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,19.72956996095815
100,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,16.01323910508015
105,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,14.736902315637892
110,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,14.480808840561295
115,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,12.691684377124082
