Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,0.390984590606667
5,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.4128874360101085
10,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.346318231462288
15,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.324337715854879
20,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3072635213122483
25,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.390150040290227
30,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.344660209822243
35,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.5378391207064332
40,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.506706112968106
45,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.4951273631827195
50,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.4732576229463805
55,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3650211503803575
60,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3769292664328034
65,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3540918074963275
70,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.390470308177023
75,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.2038113218364392
80,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.089565065547981
85,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.170454236420861
90,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.1567098252796293
95,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.224474975072877
100,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.1390588786943128
105,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.1264575645439265
110,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.0303080239128835
115,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,1.9196254916020266
120,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,1.8926547322848832
125,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,1.8420746205670073
130,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.0614074919545926
135,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.154621521213116
140,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.1059199437837037
145,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.235073637364254
150,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.1997065645519736
155,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.2201957733064863
160,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3391651473398944
165,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.5025935893598175
170,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.4212216503673254
175,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.521621946552618
180,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.5118584128658275
185,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.3003409613024424
190,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.326660755652106
195,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.4201072438998072
200,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.401347333487794
205,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.6520905830868884
210,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.371303164930308
215,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.32849952357913
220,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.5013504632704606
225,ring,corr,0.1,0.05,0.0,3.954172695354881,0.3003102702702703,10,2.799030243925518
