Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.33939898005951485
5,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.5277716491398972
10,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.5006234491716972
15,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4669659034996626
20,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.45218141846889504
25,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.47848280594594705
30,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.45359886586236065
35,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.44546208503193563
40,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.43451739474168805
45,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4365044022264726
50,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4319757792137008
55,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.41250766584521625
60,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4200169588267133
65,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4369048874718
70,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.43383667306065055
75,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.42565311981352716
80,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.43442458874895096
85,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.41929487041116686
90,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.44916296127280764
95,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.45603620946365386
100,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4699318016878853
105,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.48567997307874133
110,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.44671405432966194
115,ring,corr,0.5,0.001,0.0,0.07908345390709762,1e-05,10,0.4520112502677184
