Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.38156579909938104
5,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.7706620220559305
10,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.7201268638543826
15,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.7269667052371566
20,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.7220202157614352
25,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6435343853750503
30,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6379093870677501
35,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.591190996275896
40,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5241151097477554
45,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5744272509926827
50,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5718053480092532
55,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5803016560464702
60,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6585816429088968
65,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6557060516320058
70,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.646273061068927
75,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.638032507135755
80,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.709924347325772
85,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.643702303040198
90,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6546651707216108
95,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6505902427938899
100,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.6459992653360663
105,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.685129362875497
110,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.7402787277719919
115,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5867196881703217
120,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5936852524957035
125,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.554466490487689
130,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5259658451453615
135,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.549410041010775
140,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5176413398248556
145,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.5393566195038028
150,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.48214258681583844
155,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4823724914905243
160,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.42449431620449096
165,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.393830098985381
170,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.344703071482783
175,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3609034818745773
180,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37381750717485895
185,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.35364322851090146
190,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3131363275454264
195,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3152062537343946
200,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.35128117662385216
205,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3603712544357287
210,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.39618414014785175
215,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4113214657260482
220,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.39952241738135885
225,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3799006296505555
230,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.39640785751784
235,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.36418519028811946
240,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.36354591118190815
245,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3772216422550181
250,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32946485999752806
255,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32104432942511385
260,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32203027119518357
265,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.326025503232269
270,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3233115362995743
275,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.33840085744821324
280,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3245046359918551
285,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.31342621594985187
290,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.318929514381025
295,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32388408756658915
300,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.310690801032956
305,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32182760257901066
310,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.30826491020406055
315,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.2888843827887848
320,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.28539484840415064
325,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.30284055388985776
330,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.2992855181608023
335,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.30390832121149913
340,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3089558227991773
345,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.30873287376103387
350,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.27177097550117446
355,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.2604318740977045
360,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.27349596100429796
365,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.273152017881401
370,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.2881658799914074
375,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.30143241257043607
380,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.31295440465758795
385,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3115861046386148
390,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.32964320809958214
395,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3338586969632731
400,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.34746494259682636
405,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.40678581362923116
410,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3734589678637422
415,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37637120386969203
420,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3714894419017186
425,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.38138058721194235
430,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.375243588518711
435,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3631450541172011
440,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3630794737435934
445,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37302451877353904
450,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3770654959648063
455,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37073789965653037
460,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.36459064351345727
465,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.34019032111359626
470,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.339672759606063
475,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3417530529414232
480,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3443289258362475
485,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3362900891951509
490,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3446489685364724
495,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3455517339930346
500,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3591118754306326
505,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37489673117306754
510,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3673224085588326
515,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3796309719151605
520,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3914174661372827
525,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4043447387209831
530,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4264702188816897
535,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.41083363948425666
540,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.37734274059282125
545,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3807324859127429
550,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.39935428959191566
555,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4144965716236372
560,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4280373428504587
565,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.41111134557123064
570,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.4013866240689197
575,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.3838526404414343
580,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.38679477720578537
585,centralized,ldp,0.01,0.1,0.0,8.031273039270017,0,10,0.39724389418985384
