Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3338150985735744
5,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33394853746895514
10,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.334135901387402
15,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.334372050485918
20,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.334591982072004
25,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3340645306212051
30,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3342841138256277
35,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3339729785563298
40,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341829964027424
45,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3342902278286528
50,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3344982909462123
55,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3342226861739338
60,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341503822086985
65,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33435538979134827
70,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3345392657025773
75,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3339818907355656
80,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3344532490645644
85,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33396460514265514
90,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33442038696554377
95,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3342290035154293
100,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3338971267658115
105,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33390041560856876
110,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3344302736549186
115,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33422388182638474
120,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33379494843520086
125,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3339836839838993
130,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3340083922224344
135,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341416056944856
140,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3338233802875009
145,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341287660226576
150,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33400688247269994
155,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33413929246182217
160,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33404600110426297
165,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33420794616674143
170,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33381403479032457
175,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33393973101436214
180,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33431453216443574
185,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3337820812396989
190,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33408682896142083
195,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3344603924228281
200,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3343326468607296
205,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3344323901487757
210,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3340395675880392
215,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33408739169916346
220,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33439853690806975
225,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3343031255969362
230,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3339517667875733
235,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.33401745070269595
240,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3340871218801097
245,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341765470871656
250,centralized,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3341013095345323
