Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,-1.0
0,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4328207120738682
5,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4491565536035069
10,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4502531561988816
15,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.44830256080038966
20,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.44900355308140005
25,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4480754380019194
30,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4478718952173181
35,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.446851147117442
40,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4454529621263049
45,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.44265257615105946
50,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4410994179352531
55,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4383208900578267
60,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4355122481004048
65,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4353570291097053
70,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4351368141139731
75,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4364160165568538
80,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4336195416856329
85,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4346560438986743
90,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43400265990993847
95,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43659441065992954
100,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4375335623837967
105,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.436737860676883
110,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4351543570900136
115,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43320320032484927
120,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4331422094901015
125,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.42863796735203563
130,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.428541902129545
135,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4312870349342688
140,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43157071959944127
145,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43371132619807695
150,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43166712834275256
155,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.43120913579571274
160,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.4315453447330154
165,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.42772708828463446
170,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.42626463185924646
175,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.42364611644673
