Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,0.33587872613256364
5,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.2850126987493593
10,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.437536811094036
15,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.5464703055827704
20,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.3089698670523493
25,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.2860717162870894
30,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.3815842349362453
35,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.5805690083102997
40,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.5053203012056438
45,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.5288799941449436
50,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.5479464275406625
55,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.9835916953258232
60,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.0466041905826566
65,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.9069813918954064
70,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.047489264061403
75,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.3864892064174947
80,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.5224438046996225
85,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,3.019487578555895
90,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.717512979956141
95,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.721291434307345
100,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,3.22191038328043
105,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,3.074787443426328
110,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.638183159338096
115,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.4205505772226052
120,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.217903579729611
125,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.0501540788639785
130,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.9470230028380002
135,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.0181624429957217
140,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.1816925251203707
145,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.162967398791146
150,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.1012474288229837
155,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.8279673839723123
160,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.2424275844370434
165,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.7386583319246767
170,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.6214976037696727
175,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.9904118174357266
180,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.2388080476436834
185,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,1.8545982976955653
190,centralized,ldp,0.01,0.5,0.0,40.15636519635009,0,10,2.263259338252064
