Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,ldp,0.01,1,35.9169449233382,0,10,-1.0
0,centralized,ldp,0.01,1,35.9169449233382,0,10,0.3925814335959662
5,centralized,ldp,0.01,1,35.9169449233382,0,10,1.407743395499827
10,centralized,ldp,0.01,1,35.9169449233382,0,10,1.3689675363048863
15,centralized,ldp,0.01,1,35.9169449233382,0,10,1.4047368079410973
20,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6003799118028113
25,centralized,ldp,0.01,1,35.9169449233382,0,10,1.5059224599486578
30,centralized,ldp,0.01,1,35.9169449233382,0,10,1.4019189543497954
35,centralized,ldp,0.01,1,35.9169449233382,0,10,1.3237759030038783
40,centralized,ldp,0.01,1,35.9169449233382,0,10,1.4041795681776796
45,centralized,ldp,0.01,1,35.9169449233382,0,10,1.3775757224787095
50,centralized,ldp,0.01,1,35.9169449233382,0,10,1.3867042776515728
55,centralized,ldp,0.01,1,35.9169449233382,0,10,1.580276905056718
60,centralized,ldp,0.01,1,35.9169449233382,0,10,1.435639165967114
65,centralized,ldp,0.01,1,35.9169449233382,0,10,1.616985006707818
70,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6414561395860936
75,centralized,ldp,0.01,1,35.9169449233382,0,10,2.0002922148243933
80,centralized,ldp,0.01,1,35.9169449233382,0,10,2.0566036771958234
85,centralized,ldp,0.01,1,35.9169449233382,0,10,2.0607782343000767
90,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7459283089626156
95,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7075759421508074
100,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8666402343222694
105,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7140135009506712
110,centralized,ldp,0.01,1,35.9169449233382,0,10,1.810779602107186
115,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8606562032164273
120,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6966589332945103
125,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7805541765502682
130,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7698049399067544
135,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8686236808882106
140,centralized,ldp,0.01,1,35.9169449233382,0,10,1.796921123090021
145,centralized,ldp,0.01,1,35.9169449233382,0,10,1.74793370573544
150,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8596882747570502
155,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7983654160734783
160,centralized,ldp,0.01,1,35.9169449233382,0,10,1.9368384227228113
165,centralized,ldp,0.01,1,35.9169449233382,0,10,1.753700884124373
170,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8417336172365077
175,centralized,ldp,0.01,1,35.9169449233382,0,10,2.012630791019608
180,centralized,ldp,0.01,1,35.9169449233382,0,10,1.9502634779578667
185,centralized,ldp,0.01,1,35.9169449233382,0,10,1.9115606164418262
190,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8292603532556373
195,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8042919741695993
200,centralized,ldp,0.01,1,35.9169449233382,0,10,1.661032266067219
205,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6214362939053713
210,centralized,ldp,0.01,1,35.9169449233382,0,10,1.699359175656681
215,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6825016962887487
220,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7580627269062923
225,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7672448607594435
230,centralized,ldp,0.01,1,35.9169449233382,0,10,1.8339373328569648
235,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7119097459317567
240,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7401777444807358
245,centralized,ldp,0.01,1,35.9169449233382,0,10,1.7392304887784706
250,centralized,ldp,0.01,1,35.9169449233382,0,10,1.6895536935452107
