,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
13,centralized,0.05,0.005,,0.4015636519635008,0,5000,0.18412989417207792
2,centralized,0.005,0.01,,0.8031273039270017,0,5000,0.2118538852314758
7,centralized,0.01,0.005,,0.4015636519635008,0,5000,0.22401985235315966
18,centralized,0.1,0.001,,0.0803127303927001,0,5000,0.22543683242221924
24,centralized,0.5,0.001,,0.0803127303927001,0,5000,0.24541805685279974
3,centralized,0.005,0.05,,4.015636519635009,0,5000,0.24616693250916877
12,centralized,0.05,0.001,,0.0803127303927001,0,5000,0.2624349148636605
8,centralized,0.01,0.01,,0.8031273039270017,0,5000,0.2645567581960382
9,centralized,0.01,0.05,,4.015636519635009,0,5000,0.26756673369004436
1,centralized,0.005,0.005,,0.4015636519635008,0,5000,0.3202665811529022
14,centralized,0.05,0.01,,0.8031273039270017,0,5000,0.3467723627483537
19,centralized,0.1,0.005,,0.4015636519635008,0,5000,0.34866107782079053
4,centralized,0.005,0.1,,8.031273039270017,0,5000,0.36925148890475973
0,centralized,0.005,0.001,,0.0803127303927001,0,5000,0.38479808185632425
6,centralized,0.01,0.001,,0.0803127303927001,0,5000,0.3869547806078255
10,centralized,0.01,0.1,,8.031273039270017,0,5000,0.4913913346507834
20,centralized,0.1,0.01,,0.8031273039270017,0,5000,0.6863401215063184
15,centralized,0.05,0.05,,4.015636519635009,0,5000,1.793605367249387
25,centralized,0.5,0.005,,0.4015636519635008,0,5000,1.8636031605051324
5,centralized,0.005,0.5,,40.15636519635009,0,5000,2.6011852331157534
16,centralized,0.05,0.1,,8.031273039270017,0,5000,2.7287497908265075
21,centralized,0.1,0.05,,4.015636519635009,0,5000,3.5836935665149428
26,centralized,0.5,0.01,,0.8031273039270017,0,5000,7.721162511557069
22,centralized,0.1,0.1,,8.031273039270017,0,5000,10.644532844569463
11,centralized,0.01,0.5,,40.15636519635009,0,5000,12.763259109663895
17,centralized,0.05,0.5,,40.15636519635009,0,5000,26.0491863400937
27,centralized,0.5,0.05,,4.015636519635009,0,5000,28.22789889943388
23,centralized,0.1,0.5,,40.15636519635009,0,5000,49.921792798357686
28,centralized,0.5,0.1,,8.031273039270017,0,5000,54.07313640702077
29,centralized,0.5,0.5,,40.15636519635009,0,5000,59.44276429021968
