Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3586495205098965
5,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4253540189813194
10,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4085601688253391
15,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.41646121121629986
20,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4111708229060037
25,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4168523281027985
30,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.41645688070108455
35,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4336357579792457
40,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4288977968888805
45,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4284658741858103
50,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.43740821528741525
55,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.4084206216814892
60,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.39183889714839304
65,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3914366681112945
70,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.35772857394379254
75,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.35376798653396435
80,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3539306803256109
85,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3521681251551171
90,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.33478872399480475
95,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.34286952136161886
100,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3290824020088533
105,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3126159751238259
110,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.31074575393048054
115,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.3083037346011527
120,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.30967849446302653
125,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.29510371766849186
130,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2922470436829796
135,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.27987498375524467
140,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.27757047462457285
145,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2679230019274005
150,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.26702913838938447
155,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2638115131273049
160,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.26348494104344
165,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2616490553698807
170,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.260544878937508
175,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.25415186356330177
180,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24774484055930712
185,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2467652587644359
190,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2534698920125702
195,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24957697608044382
200,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2544981960459599
205,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24250201089370504
210,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24570938288754696
215,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.25419130194484707
220,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2540410033572771
225,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2538830390294019
230,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.25226505612135197
235,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.2516574420233868
240,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24942646775985677
245,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.25034434184002874
250,grid,ldp,0.01,0.05,0.0,4.015636519635009,0,10,0.24749106537965948
