Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35589288628249127
5,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35599195257471306
10,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35580688937487404
15,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35575143509489127
20,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3559398924474849
25,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35622690200821705
30,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3558521724316933
35,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35604107710828714
40,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3562693264922402
45,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3563037183193625
50,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3557875301362722
55,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3556886402774966
60,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35548730627305913
65,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3559841156145791
70,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35562746183935656
75,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3560775675897472
80,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3559003894111398
85,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3563298199279399
90,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35613692603714286
95,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3556915715838568
100,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3560817504893036
105,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3562673605979645
110,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3560466357056622
115,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35576977153508005
120,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3558446247414131
125,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35580990685030955
130,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3562062307839675
135,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3556399267032412
140,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3561464190154806
145,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35598394003191336
150,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3557090746562579
155,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35605470177017684
160,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3558511244222645
165,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35582862737332677
170,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35590953405286374
175,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.3562088566566709
180,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35631702964233647
185,grid,ldp,0.05,1e-05,0.0,0.002400884527927058,0,3,0.35577876711692913
