Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,0.420405653567573
5,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.584770879893862
10,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.8803008830187835
15,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.181019501464994
20,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.688521841757621
25,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.68291134902796
30,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.5642898813954
35,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.5387102103370385
40,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.321050122067032
45,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.790736254587293
50,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.045642592302921
55,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.5079727050584655
60,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.648866931041467
65,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.992704579569895
70,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.2146789055684355
75,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5202631251693393
80,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5147420690328
85,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.527920553419565
90,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.906919510927122
95,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.960384860334295
100,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.057859243678671
105,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.334056634077969
110,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.006899101482827
115,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.105244647382323
120,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.228355325146543
125,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.482505342965755
130,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.594687934397858
135,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.918903499824721
140,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.2664442015624955
145,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.748666077560047
150,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.816909570519634
155,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.852751172226926
160,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.040575830080255
165,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.242279464543389
170,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.438537234966633
175,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.960571193110809
180,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,8.301176929764654
185,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.148063766506623
190,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.59639791711822
195,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.978986646811148
200,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.157387612025992
205,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.357401325448284
210,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.925030355078756
215,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.015705303418987
220,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5970865191358783
225,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5446262046827806
230,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.825396185122081
235,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.9468291254704173
240,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.821854058051911
245,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.013742011699104
250,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.175793147949743
255,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.6017208975544577
260,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5169866145223554
265,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.63906759188243
270,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.6735934057896893
275,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.9455080352579355
280,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.157124509761646
285,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.272496894596917
290,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.427122285886883
295,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.999968130361134
300,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.100708898804951
305,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.787607628460535
310,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.269803864671076
315,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.4502876761107375
320,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.21168447688121
325,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.11669003745002
330,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.785073335403407
335,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.448480427517087
340,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.70956422029412
345,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.8955940500374115
350,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.324995066718492
355,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.769016766980974
360,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.006632603962588
365,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.7596729177893478
370,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.5990791102800763
375,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.4178186943165407
380,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.4578236819079966
385,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.445520448033989
390,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.701849754257225
395,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.505083329520021
400,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.47857345330132
405,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.281151854749538
410,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.3209244547740626
415,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.554599985887774
420,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.7252451088471563
425,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.4341238095761257
430,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.329020265684133
435,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.944626690434432
440,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.144360451345368
445,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.373832305207806
450,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.256072998350686
455,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.198010409362195
460,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.289094297166051
465,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.074305532822822
470,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.75334127591434
475,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,3.6039847962478877
480,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.408224664962317
485,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.578005012896598
490,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.313715320486231
495,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.9393013104555195
500,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.917495910477696
505,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.812242203923714
510,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.076261638767052
515,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.90555882957856
520,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.081033530949954
525,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.925627792079747
530,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.904421379766982
535,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,8.214589222273315
540,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.6487231629192145
545,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,8.903483182343809
550,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,9.804699962654583
555,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.052804836180032
560,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.605847493766731
565,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.982057965856889
570,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.384884473584368
575,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.250948726791608
580,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,10.969486921125306
585,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,9.804043660102906
590,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,11.529802639248445
595,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,10.593411406942547
600,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,10.276241306547561
605,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,10.747325344510001
610,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,9.842842817616358
615,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,8.418701221871192
620,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,8.947166083668897
625,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.53277442840143
630,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,7.194353047444892
635,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.74551134480085
640,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,6.128380467309476
645,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.361870449320534
650,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.1802993292383945
655,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.307862339302026
660,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,5.280392467824225
665,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.579350084792964
670,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.505669086308901
675,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.715129301770298
680,grid,ldp,0.1,0.05,0.0,4.015636519635009,0,10,4.538820799266778
