,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
13,grid,0.05,0.005,0.0,0.40156365196350086,0,5000,0.18415366848706438
2,grid,0.005,0.01,0.0,0.8031273039270017,0,5000,0.21184957565288326
7,grid,0.01,0.005,0.0,0.40156365196350086,0,5000,0.22401760977481683
18,grid,0.1,0.001,0.0,0.08031273039270018,0,5000,0.22543722204196667
24,grid,0.5,0.001,0.0,0.08031273039270018,0,5000,0.24553611439133546
3,grid,0.005,0.05,0.0,4.015636519635009,0,5000,0.24619606528126353
12,grid,0.05,0.001,0.0,0.08031273039270018,0,5000,0.2624306447646945
8,grid,0.01,0.01,0.0,0.8031273039270017,0,5000,0.2645611007925535
9,grid,0.01,0.05,0.0,4.015636519635009,0,5000,0.2677135809266285
1,grid,0.005,0.005,0.0,0.40156365196350086,0,5000,0.32026561333668324
14,grid,0.05,0.01,0.0,0.8031273039270017,0,5000,0.3469517564222341
19,grid,0.1,0.005,0.0,0.40156365196350086,0,5000,0.34899527805875585
4,grid,0.005,0.1,0.0,8.031273039270017,0,5000,0.36935746562958377
0,grid,0.005,0.001,0.0,0.08031273039270018,0,5000,0.3848006427827515
6,grid,0.01,0.001,0.0,0.08031273039270018,0,5000,0.38695793472234086
10,grid,0.01,0.1,0.0,8.031273039270017,0,5000,0.4916880055577893
20,grid,0.1,0.01,0.0,0.8031273039270017,0,5000,0.6867467754002996
15,grid,0.05,0.05,0.0,4.015636519635009,0,5000,1.7949319539926967
25,grid,0.5,0.005,0.0,0.40156365196350086,0,5000,1.865505863183656
5,grid,0.005,0.5,0.0,40.15636519635009,0,5000,2.602819247325018
16,grid,0.05,0.1,0.0,8.031273039270017,0,5000,2.731338152537412
21,grid,0.1,0.05,0.0,4.015636519635009,0,5000,3.583501286544036
26,grid,0.5,0.01,0.0,0.8031273039270017,0,5000,7.722580682424032
22,grid,0.1,0.1,0.0,8.031273039270017,0,5000,10.654886988188982
11,grid,0.01,0.5,0.0,40.15636519635009,0,5000,12.767472909568696
17,grid,0.05,0.5,0.0,40.15636519635009,0,5000,26.04979581590125
27,grid,0.5,0.05,0.0,4.015636519635009,0,5000,28.21062800929576
23,grid,0.1,0.5,0.0,40.15636519635009,0,5000,49.95802276683042
28,grid,0.5,0.1,0.0,8.031273039270017,0,5000,54.16720850014165
29,grid,0.5,0.5,0.0,40.15636519635009,0,5000,59.43667618702129
