,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
19,ring,0.1,0.005,0.0,0.2539711531479618,0,2000,0.14501550835067856
20,ring,0.1,0.01,0.0,0.5079423062959236,0,2000,0.1980768382652045
4,ring,0.005,0.1,0.0,5.079423062959236,0,2000,0.24862067397130339
24,ring,0.5,0.001,0.0,0.05079423062959237,0,2000,0.2521369495056923
3,ring,0.005,0.05,0.0,2.539711531479618,0,2000,0.2551510066629331
10,ring,0.01,0.1,0.0,5.079423062959236,0,2000,0.2602274482825292
7,ring,0.01,0.005,0.0,0.2539711531479618,0,2000,0.264604314671414
13,ring,0.05,0.005,0.0,0.2539711531479618,0,2000,0.266512487785986
14,ring,0.05,0.01,0.0,0.5079423062959236,0,2000,0.27635035570358313
1,ring,0.005,0.005,0.0,0.2539711531479618,0,2000,0.2916888756004523
18,ring,0.1,0.001,0.0,0.05079423062959237,0,2000,0.29421132433806985
8,ring,0.01,0.01,0.0,0.5079423062959236,0,2000,0.3192947398491154
9,ring,0.01,0.05,0.0,2.539711531479618,0,2000,0.3251863446224068
12,ring,0.05,0.001,0.0,0.05079423062959237,0,2000,0.35516539167593164
2,ring,0.005,0.01,0.0,0.5079423062959236,0,2000,0.35590482312998406
0,ring,0.005,0.001,0.0,0.05079423062959237,0,2000,0.3878733834153718
6,ring,0.01,0.001,0.0,0.05079423062959237,0,2000,0.39151795674420964
15,ring,0.05,0.05,0.0,2.539711531479618,0,2000,0.5913906482399003
5,ring,0.005,0.5,0.0,25.39711531479618,0,2000,0.8520180553863773
25,ring,0.5,0.005,0.0,0.2539711531479618,0,2000,1.1407821873784463
16,ring,0.05,0.1,0.0,5.079423062959236,0,2000,1.4421051788273953
21,ring,0.1,0.05,0.0,2.539711531479618,0,2000,1.4703257125688451
26,ring,0.5,0.01,0.0,0.5079423062959236,0,2000,1.5276074795771462
11,ring,0.01,0.5,0.0,25.39711531479618,0,2000,1.9393618312154777
22,ring,0.1,0.1,0.0,5.079423062959236,0,2000,7.559555803356911
17,ring,0.05,0.5,0.0,25.39711531479618,0,2000,12.287661976012323
27,ring,0.5,0.05,0.0,2.539711531479618,0,2000,13.009744713057993
23,ring,0.1,0.5,0.0,25.39711531479618,0,2000,19.023736027842617
28,ring,0.5,0.1,0.0,5.079423062959236,0,2000,22.006583468864086
29,ring,0.5,0.5,0.0,25.39711531479618,0,2000,71.80724047236018
