,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,ring,0.001,0.0001,0.0,0.0037742651293643918,0,5000,0.39119780128205806
1,ring,0.001,0.001,0.0,0.03774265129364392,0,5000,0.38860218927630097
2,ring,0.001,0.01,0.0,0.3774265129364392,0,5000,0.3640799204108938
3,ring,0.001,0.1,0.0,3.774265129364392,0,5000,0.23232459840890754
4,ring,0.005,0.0001,0.0,0.0037742651293643918,0,5000,0.39003103042965204
5,ring,0.005,0.001,0.0,0.03774265129364392,0,5000,0.37737497847734996
6,ring,0.005,0.01,0.0,0.3774265129364392,0,5000,0.2843599340136455
7,ring,0.005,0.1,0.0,3.774265129364392,0,5000,0.14506366951413283
8,ring,0.01,0.0001,0.0,0.0037742651293643918,0,5000,0.38859172332351805
9,ring,0.01,0.001,0.0,0.03774265129364392,0,5000,0.364074994385838
10,ring,0.01,0.01,0.0,0.3774265129364392,0,5000,0.232336704760255
11,ring,0.01,0.1,0.0,3.774265129364392,0,5000,0.19860893620884923
12,ring,0.05,0.0001,0.0,0.0037742651293643918,0,5000,0.3773383551386099
13,ring,0.05,0.001,0.0,0.03774265129364392,0,5000,0.2843874192275035
14,ring,0.05,0.01,0.0,0.3774265129364392,0,5000,0.14508018622994587
15,ring,0.05,0.1,0.0,3.774265129364392,0,5000,1.4020355768678254
16,ring,0.1,0.0001,0.0,0.0037742651293643918,0,5000,0.3640197674347985
17,ring,0.1,0.001,0.0,0.03774265129364392,0,5000,0.23242029492545355
18,ring,0.1,0.01,0.0,0.3774265129364392,0,5000,0.1984379149032479
19,ring,0.1,0.1,0.0,3.774265129364392,0,5000,6.284516494715457
