Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645944924637107
5,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645323869745022
10,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3643363309345269
15,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3643543816844118
20,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36468689511849295
25,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36454268328020556
30,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36414024929346356
35,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36436175509752744
40,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36449802819837973
45,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36449871591028404
50,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3642445621198257
55,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36457951864877236
60,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36434802870682315
65,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644400360584442
70,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36455297702422407
75,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36454197569125957
80,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36474801608652874
85,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644501530983808
90,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644067345062504
95,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36451019900978376
100,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3646421703383069
105,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36448938310624235
110,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36460247784009425
115,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3642403847669523
120,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36458253232147186
125,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644247913559675
130,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645562200112539
135,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645229575696217
140,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36425050144284143
145,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36417061425583563
150,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644337064580073
155,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645129798340878
160,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3646459193882061
165,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645128737180845
170,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.364592276482702
175,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.364286282701765
180,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645758873764836
185,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644575336459486
190,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3643638916311386
195,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36478313643888205
200,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36431553962447916
205,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36488437832105713
210,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36428000398370175
215,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36456855292892476
220,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36481919061693613
225,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36473193014609395
230,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3648092011285793
235,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36443537440180485
240,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36454715691290485
245,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645077711654694
250,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36487586210225254
255,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36439783592825414
260,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3646998305753364
265,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36476795874463985
270,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644001837950377
275,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36476981284894516
280,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645061447646142
285,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3647008679351116
290,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36449345467479444
295,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644978320835196
300,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644557539015292
305,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36456673823132435
310,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3646881176410184
315,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36461146156074686
320,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36433216344221653
325,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36444957181906656
330,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36447263559169063
335,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645074242461278
340,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3645831489300493
345,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36440500769186246
350,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36497147647668515
355,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36438210743485966
360,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3643899081109583
365,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36477333780441523
370,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.3644248950594974
375,ring,ldp,0.005,1e-05,0.0,0.002400884527927058,0,3,0.36441203246498355
