Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.333371076187542
5,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33363586034285353
10,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33354588931648477
15,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33529439720213794
20,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.335408835140789
25,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3350161295040893
30,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33463677160910965
35,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3345741357326887
40,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3347877126893184
45,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3347229955535901
50,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33414235623562616
55,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3344957728372695
60,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3334652593994514
65,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3337301821009505
70,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33389727735404406
75,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3347412422328112
80,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33546541488449355
85,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3359213740318223
90,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3362677872210864
95,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33664062087391244
100,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365106162341792
105,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33648469526577696
110,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3364924898052788
115,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33573385647718645
120,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3359914354064346
125,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33612671723920284
130,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33597895814985235
135,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33655067439810016
140,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33552695120639897
145,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3356959942377381
150,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3355491587444983
155,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3363613207695796
160,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33643611358187375
165,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33607969638528823
170,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365318240571804
175,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3368888470092398
180,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33607891777635757
185,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33655244714199173
190,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3355811425645955
195,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3361154984570581
200,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3366110173307031
205,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33685317545368776
210,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33654600483971797
215,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365194613330903
220,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3363350381898782
225,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3363733696287966
230,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33697708106668856
235,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33609200506267656
240,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.336120165966562
245,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3368136183314471
250,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3364019785033602
255,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3363060055725935
260,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365069717037419
265,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.335877979489389
270,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3358141005938101
275,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.335727720786838
280,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33664623013602557
285,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33601269722553884
290,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3358197910051546
295,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33701614548069425
300,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33718888027180904
305,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33693698897885427
310,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33686183981835893
315,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33677928947520597
320,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33682309652032927
325,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3367293342521549
330,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3367562298918041
335,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3367543848568728
340,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3373354552155736
345,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33689910712925275
350,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3360817795882909
355,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33537950367053626
360,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33556322749246315
365,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33555511559587914
370,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3360201607881509
375,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3360911114206897
380,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3368950464542343
385,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3369578895052977
390,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3371481034386056
395,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33717279000083566
400,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3359610457530987
405,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365736038535555
410,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3369897945777497
415,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33685373095716764
420,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33677835948925106
425,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3362406332374589
430,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33672612258930434
435,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3366932216642564
440,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33588376865471203
445,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33595835932181217
450,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3370849556780474
455,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3367283054958461
460,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33693660579802553
465,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3365040402059336
470,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3366538652392661
475,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33722445959138936
480,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33706750793527185
485,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33635551395325514
490,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3364087927283762
495,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3360157503993031
500,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33660766215883675
505,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.3366388220783709
510,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33642456717239766
515,ring,ldp,0.05,0.0001,0.0,0.024008845279270576,0,3,0.33670620291944575
