Step,topology,method,lr,clip,momentum,sigma,sigma-cor,epsilon,loss
0,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,0.41734476610798754
5,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.207552309776043
10,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.238065845431334
15,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.786161564621853
20,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,8.458760594270865
25,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,7.80955538725087
30,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.269175029396632
35,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.539211695606118
40,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.971099049591658
45,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,9.37691908909199
50,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,7.115458625591327
55,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.504710495926288
60,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.698483438746322
65,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,25.40290519230732
70,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.424814717771618
75,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,17.971812900816072
80,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,19.500916694620724
85,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.237934697278748
90,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.543533033176171
95,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.342010444305675
100,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.602545991806066
105,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.161954745451887
110,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,7.480659239722911
115,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,8.054018224124475
120,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.713910912487416
125,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,8.512161362121734
130,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.654755428628635
135,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.594035930072629
140,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.740837015755238
145,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.783481503206545
150,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.828216510127353
155,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.765260287917066
160,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.218364831261995
165,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.326145853185961
170,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.04327640124716
175,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.08239930578375
180,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.814501735725196
185,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,27.827759100419442
190,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,32.90941579032503
195,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,32.00752440185274
200,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.690421805796415
205,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,20.095287891482563
210,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.423096440782109
215,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.84903413661741
220,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.757343136716502
225,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.131675279822048
230,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,8.625669359381694
235,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.024542719990645
240,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,7.52417675242574
245,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,9.310870034505058
250,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.947065589143085
255,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.315627953530736
260,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,20.045382762986033
265,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,24.791471339561706
270,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,19.98721901770747
275,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.464903109738971
280,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,22.131403048552333
285,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,22.650284306403606
290,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,23.727203490414613
295,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,21.360959790992037
300,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,21.20002739563308
305,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,17.24402648322245
310,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.361107738442055
315,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.146692395272892
320,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.572309498403145
325,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.489198228562405
330,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.234795994727504
335,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.112240087812145
340,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.431339537576752
345,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.577363506005296
350,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.660209555664709
355,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.830636570800635
360,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.573183830606926
365,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.71829984629073
370,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.86944568419805
375,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.562642945694446
380,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,20.30336027227843
385,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,19.55491865606711
390,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.114454124347592
395,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.328675198363914
400,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.124795330284103
405,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,9.113247051388138
410,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,9.364741424427024
415,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,9.931507159947106
420,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,12.262652212931902
425,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.399056924520242
430,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,10.876927261996286
435,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,11.682999695347252
440,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.106898210458933
445,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,13.61500110546177
450,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.175844772024295
455,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.405488091219844
460,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.2363759978487
465,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.772881400022062
470,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.83183469315186
475,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,14.584435219288707
480,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,15.511522199494578
485,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.278456968341036
490,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,23.307374806756812
495,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,20.957949724321455
500,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.850584179998872
505,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,16.972695853601454
510,ring,ldp,0.05,0.5,0.0,25.39711531479618,0,10,18.852749144783605
