Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,-1.0
0,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.37278030656481975
5,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3398273278067646
10,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.338870821825627
15,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33685910925183304
20,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3381459432186864
25,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.34650165160751223
30,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3414189983284813
35,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3398807018900355
40,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.336714790276878
45,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3380667533316265
50,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33724482926245203
55,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33770249787082807
60,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33548376507434674
65,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3378643832184679
70,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33905856443348825
75,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3340552915888355
80,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3322326253192196
85,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3336194039347272
90,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32470140109267487
95,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3238373875927364
100,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3251763678636036
105,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3282803258694629
110,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3297111652991581
115,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3321671610685665
120,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33165320984426305
125,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3263541650661338
130,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3259232662802123
135,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.328644889045713
140,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3285689977894881
145,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3277197775662236
150,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3268313139764285
155,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3230834331399961
160,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32651444710736266
165,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32881577261323225
170,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3294619037809139
175,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3259201065376882
180,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3232084364095291
185,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32831566469123263
190,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32769452158158563
195,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3281859252732625
200,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3282631869568303
205,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3320919994623278
210,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3322820135018084
215,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3307126466932063
220,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3304486920587377
225,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3298422751690102
230,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.33231294212545315
235,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3330297762636485
240,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3371899772417417
245,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3316948091365174
250,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3291718748238116
255,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3275270819304733
260,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32242144083231805
265,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3236932312233771
270,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32094893551400516
275,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3248744228704703
280,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3214462217624693
285,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3202007913758349
290,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3212217646535416
295,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32487281144430824
300,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32749778294643084
305,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32378891032735324
310,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32655351818938283
315,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32642504778800796
320,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32625366181008875
325,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3282996814340853
330,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3204427558187227
335,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32421179487176377
340,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.325705704696002
345,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3229694018166718
350,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3173873812273258
355,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32094923262478825
360,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.32158889827394854
365,centralized,ldp,0.05,0.01,0.2539711531479618,0,10,0.3230227573945129
