Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
-1,centralized,ldp,0.05,1,35.9169449233382,0,10,-1.0
0,centralized,ldp,0.05,1,35.9169449233382,0,10,0.34881269910197177
5,centralized,ldp,0.05,1,35.9169449233382,0,10,25.13833952559681
10,centralized,ldp,0.05,1,35.9169449233382,0,10,25.86909993870524
15,centralized,ldp,0.05,1,35.9169449233382,0,10,27.466558486162384
20,centralized,ldp,0.05,1,35.9169449233382,0,10,28.58091965566836
25,centralized,ldp,0.05,1,35.9169449233382,0,10,32.09303316400974
30,centralized,ldp,0.05,1,35.9169449233382,0,10,35.955926325121034
35,centralized,ldp,0.05,1,35.9169449233382,0,10,36.20930870650933
40,centralized,ldp,0.05,1,35.9169449233382,0,10,39.24837811787251
45,centralized,ldp,0.05,1,35.9169449233382,0,10,39.90794905666002
50,centralized,ldp,0.05,1,35.9169449233382,0,10,38.63515853809634
55,centralized,ldp,0.05,1,35.9169449233382,0,10,42.825487448657306
60,centralized,ldp,0.05,1,35.9169449233382,0,10,41.55565938205114
65,centralized,ldp,0.05,1,35.9169449233382,0,10,45.03662018894879
70,centralized,ldp,0.05,1,35.9169449233382,0,10,44.54228033817694
75,centralized,ldp,0.05,1,35.9169449233382,0,10,43.30697539957582
80,centralized,ldp,0.05,1,35.9169449233382,0,10,41.31671643420038
85,centralized,ldp,0.05,1,35.9169449233382,0,10,44.285008814341175
90,centralized,ldp,0.05,1,35.9169449233382,0,10,44.07413940311891
95,centralized,ldp,0.05,1,35.9169449233382,0,10,45.27188297836534
100,centralized,ldp,0.05,1,35.9169449233382,0,10,43.00101459148075
105,centralized,ldp,0.05,1,35.9169449233382,0,10,44.14683604534793
110,centralized,ldp,0.05,1,35.9169449233382,0,10,43.83606312190815
115,centralized,ldp,0.05,1,35.9169449233382,0,10,42.336466834352464
120,centralized,ldp,0.05,1,35.9169449233382,0,10,42.00375758405522
125,centralized,ldp,0.05,1,35.9169449233382,0,10,42.13498220528198
130,centralized,ldp,0.05,1,35.9169449233382,0,10,43.439772425420614
135,centralized,ldp,0.05,1,35.9169449233382,0,10,41.97033808950606
140,centralized,ldp,0.05,1,35.9169449233382,0,10,42.81293112933724
145,centralized,ldp,0.05,1,35.9169449233382,0,10,46.165090128490405
150,centralized,ldp,0.05,1,35.9169449233382,0,10,51.03610180402058
155,centralized,ldp,0.05,1,35.9169449233382,0,10,47.43619753616741
160,centralized,ldp,0.05,1,35.9169449233382,0,10,49.153020375995396
165,centralized,ldp,0.05,1,35.9169449233382,0,10,46.218984744350564
170,centralized,ldp,0.05,1,35.9169449233382,0,10,49.044418966438535
175,centralized,ldp,0.05,1,35.9169449233382,0,10,47.72414813269107
180,centralized,ldp,0.05,1,35.9169449233382,0,10,47.40157819945263
185,centralized,ldp,0.05,1,35.9169449233382,0,10,50.31960156826507
190,centralized,ldp,0.05,1,35.9169449233382,0,10,47.76018846436137
195,centralized,ldp,0.05,1,35.9169449233382,0,10,50.26887882613833
200,centralized,ldp,0.05,1,35.9169449233382,0,10,48.91851632075776
205,centralized,ldp,0.05,1,35.9169449233382,0,10,48.75040152315061
210,centralized,ldp,0.05,1,35.9169449233382,0,10,46.96487136668967
215,centralized,ldp,0.05,1,35.9169449233382,0,10,47.69712410568049
220,centralized,ldp,0.05,1,35.9169449233382,0,10,47.83968567634629
225,centralized,ldp,0.05,1,35.9169449233382,0,10,48.95116672136093
230,centralized,ldp,0.05,1,35.9169449233382,0,10,47.08897420145504
235,centralized,ldp,0.05,1,35.9169449233382,0,10,49.149426349348275
240,centralized,ldp,0.05,1,35.9169449233382,0,10,48.28350882227862
245,centralized,ldp,0.05,1,35.9169449233382,0,10,51.007999738357526
250,centralized,ldp,0.05,1,35.9169449233382,0,10,52.32686546880848
255,centralized,ldp,0.05,1,35.9169449233382,0,10,54.04046867530155
260,centralized,ldp,0.05,1,35.9169449233382,0,10,54.05128357333709
265,centralized,ldp,0.05,1,35.9169449233382,0,10,51.23901785034181
270,centralized,ldp,0.05,1,35.9169449233382,0,10,51.289420623598275
275,centralized,ldp,0.05,1,35.9169449233382,0,10,53.057590839013194
280,centralized,ldp,0.05,1,35.9169449233382,0,10,54.899460022697426
285,centralized,ldp,0.05,1,35.9169449233382,0,10,55.718930745300376
290,centralized,ldp,0.05,1,35.9169449233382,0,10,55.7007606626832
295,centralized,ldp,0.05,1,35.9169449233382,0,10,53.972248707391614
300,centralized,ldp,0.05,1,35.9169449233382,0,10,53.56077915583891
305,centralized,ldp,0.05,1,35.9169449233382,0,10,54.30135843306257
310,centralized,ldp,0.05,1,35.9169449233382,0,10,54.726122793405175
315,centralized,ldp,0.05,1,35.9169449233382,0,10,55.662783409328526
320,centralized,ldp,0.05,1,35.9169449233382,0,10,56.325764890093154
325,centralized,ldp,0.05,1,35.9169449233382,0,10,55.119523050427304
330,centralized,ldp,0.05,1,35.9169449233382,0,10,55.304731076270826
335,centralized,ldp,0.05,1,35.9169449233382,0,10,55.87600192677232
340,centralized,ldp,0.05,1,35.9169449233382,0,10,55.625631898680645
345,centralized,ldp,0.05,1,35.9169449233382,0,10,57.49273068787725
350,centralized,ldp,0.05,1,35.9169449233382,0,10,57.32395521860431
355,centralized,ldp,0.05,1,35.9169449233382,0,10,58.88756747500553
360,centralized,ldp,0.05,1,35.9169449233382,0,10,57.4594613590964
365,centralized,ldp,0.05,1,35.9169449233382,0,10,57.42420483717084
370,centralized,ldp,0.05,1,35.9169449233382,0,10,59.19191412689841
375,centralized,ldp,0.05,1,35.9169449233382,0,10,59.68648968100217
380,centralized,ldp,0.05,1,35.9169449233382,0,10,61.406618281451486
385,centralized,ldp,0.05,1,35.9169449233382,0,10,61.49570938318362
390,centralized,ldp,0.05,1,35.9169449233382,0,10,61.83497359384754
395,centralized,ldp,0.05,1,35.9169449233382,0,10,61.579341901931336
400,centralized,ldp,0.05,1,35.9169449233382,0,10,61.44064948028139
405,centralized,ldp,0.05,1,35.9169449233382,0,10,60.336269093400155
410,centralized,ldp,0.05,1,35.9169449233382,0,10,59.957838802625105
415,centralized,ldp,0.05,1,35.9169449233382,0,10,60.54811307883233
420,centralized,ldp,0.05,1,35.9169449233382,0,10,60.7833957100599
425,centralized,ldp,0.05,1,35.9169449233382,0,10,59.559959056955456
430,centralized,ldp,0.05,1,35.9169449233382,0,10,60.86148459616457
435,centralized,ldp,0.05,1,35.9169449233382,0,10,61.57539303069772
440,centralized,ldp,0.05,1,35.9169449233382,0,10,61.932902914528555
445,centralized,ldp,0.05,1,35.9169449233382,0,10,61.82462217816778
450,centralized,ldp,0.05,1,35.9169449233382,0,10,62.3165335603813
455,centralized,ldp,0.05,1,35.9169449233382,0,10,63.65692308044671
460,centralized,ldp,0.05,1,35.9169449233382,0,10,63.40295129811063
465,centralized,ldp,0.05,1,35.9169449233382,0,10,63.24037861464307
470,centralized,ldp,0.05,1,35.9169449233382,0,10,62.65907423564652
475,centralized,ldp,0.05,1,35.9169449233382,0,10,63.22125297940314
480,centralized,ldp,0.05,1,35.9169449233382,0,10,60.785677077744
485,centralized,ldp,0.05,1,35.9169449233382,0,10,60.805821919229366
490,centralized,ldp,0.05,1,35.9169449233382,0,10,60.57991522203613
495,centralized,ldp,0.05,1,35.9169449233382,0,10,61.28335532133869
500,centralized,ldp,0.05,1,35.9169449233382,0,10,62.252784398158596
505,centralized,ldp,0.05,1,35.9169449233382,0,10,62.43792932269868
510,centralized,ldp,0.05,1,35.9169449233382,0,10,62.353123306133355
515,centralized,ldp,0.05,1,35.9169449233382,0,10,61.93055747335629
520,centralized,ldp,0.05,1,35.9169449233382,0,10,61.87661358410796
525,centralized,ldp,0.05,1,35.9169449233382,0,10,61.136993866993336
530,centralized,ldp,0.05,1,35.9169449233382,0,10,60.930764334592624
535,centralized,ldp,0.05,1,35.9169449233382,0,10,60.30500100394984
540,centralized,ldp,0.05,1,35.9169449233382,0,10,60.74081284756574
545,centralized,ldp,0.05,1,35.9169449233382,0,10,60.584627906415434
550,centralized,ldp,0.05,1,35.9169449233382,0,10,59.620357583929945
555,centralized,ldp,0.05,1,35.9169449233382,0,10,60.275003126566844
560,centralized,ldp,0.05,1,35.9169449233382,0,10,60.4489853843534
565,centralized,ldp,0.05,1,35.9169449233382,0,10,60.10443825594532
570,centralized,ldp,0.05,1,35.9169449233382,0,10,59.3767187773039
575,centralized,ldp,0.05,1,35.9169449233382,0,10,60.30895403141942
580,centralized,ldp,0.05,1,35.9169449233382,0,10,61.76326506570752
585,centralized,ldp,0.05,1,35.9169449233382,0,10,61.15713008550317
590,centralized,ldp,0.05,1,35.9169449233382,0,10,60.14810482905938
595,centralized,ldp,0.05,1,35.9169449233382,0,10,61.41667389591843
600,centralized,ldp,0.05,1,35.9169449233382,0,10,61.032982599223544
605,centralized,ldp,0.05,1,35.9169449233382,0,10,61.18869668068809
610,centralized,ldp,0.05,1,35.9169449233382,0,10,60.111010760109245
615,centralized,ldp,0.05,1,35.9169449233382,0,10,59.53614230165613
620,centralized,ldp,0.05,1,35.9169449233382,0,10,58.73943823279785
625,centralized,ldp,0.05,1,35.9169449233382,0,10,57.13318514343898
630,centralized,ldp,0.05,1,35.9169449233382,0,10,57.52629211256247
635,centralized,ldp,0.05,1,35.9169449233382,0,10,57.184095424369715
640,centralized,ldp,0.05,1,35.9169449233382,0,10,58.27259719049108
645,centralized,ldp,0.05,1,35.9169449233382,0,10,57.760297535006956
650,centralized,ldp,0.05,1,35.9169449233382,0,10,59.168108150690905
655,centralized,ldp,0.05,1,35.9169449233382,0,10,58.67728819597509
660,centralized,ldp,0.05,1,35.9169449233382,0,10,59.642585748969246
665,centralized,ldp,0.05,1,35.9169449233382,0,10,59.03223667938685
670,centralized,ldp,0.05,1,35.9169449233382,0,10,59.40918794700833
675,centralized,ldp,0.05,1,35.9169449233382,0,10,57.25318129482882
680,centralized,ldp,0.05,1,35.9169449233382,0,10,55.9918412177449
685,centralized,ldp,0.05,1,35.9169449233382,0,10,55.982407440203474
690,centralized,ldp,0.05,1,35.9169449233382,0,10,55.93686799811441
695,centralized,ldp,0.05,1,35.9169449233382,0,10,55.74066772614607
700,centralized,ldp,0.05,1,35.9169449233382,0,10,55.825425349603776
705,centralized,ldp,0.05,1,35.9169449233382,0,10,55.74663697522606
710,centralized,ldp,0.05,1,35.9169449233382,0,10,55.12945947093744
715,centralized,ldp,0.05,1,35.9169449233382,0,10,55.41975375874714
720,centralized,ldp,0.05,1,35.9169449233382,0,10,53.95810803150958
725,centralized,ldp,0.05,1,35.9169449233382,0,10,53.36184826240966
730,centralized,ldp,0.05,1,35.9169449233382,0,10,54.297983525516216
735,centralized,ldp,0.05,1,35.9169449233382,0,10,54.801104188461345
740,centralized,ldp,0.05,1,35.9169449233382,0,10,55.598963244851255
745,centralized,ldp,0.05,1,35.9169449233382,0,10,54.74783083054063
750,centralized,ldp,0.05,1,35.9169449233382,0,10,54.59615173545606
755,centralized,ldp,0.05,1,35.9169449233382,0,10,55.00491658797007
760,centralized,ldp,0.05,1,35.9169449233382,0,10,55.65496704236857
765,centralized,ldp,0.05,1,35.9169449233382,0,10,56.26836118242013
770,centralized,ldp,0.05,1,35.9169449233382,0,10,56.704597902908375
775,centralized,ldp,0.05,1,35.9169449233382,0,10,57.3467978216155
780,centralized,ldp,0.05,1,35.9169449233382,0,10,57.45365982391673
785,centralized,ldp,0.05,1,35.9169449233382,0,10,57.71605156254994
790,centralized,ldp,0.05,1,35.9169449233382,0,10,58.21505504574132
795,centralized,ldp,0.05,1,35.9169449233382,0,10,58.52651519284348
800,centralized,ldp,0.05,1,35.9169449233382,0,10,58.51549386766493
805,centralized,ldp,0.05,1,35.9169449233382,0,10,59.314260566330674
810,centralized,ldp,0.05,1,35.9169449233382,0,10,58.36084247657717
815,centralized,ldp,0.05,1,35.9169449233382,0,10,57.5712819324612
820,centralized,ldp,0.05,1,35.9169449233382,0,10,56.928117821717905
825,centralized,ldp,0.05,1,35.9169449233382,0,10,58.22293056749715
830,centralized,ldp,0.05,1,35.9169449233382,0,10,57.50575929610729
835,centralized,ldp,0.05,1,35.9169449233382,0,10,57.366036474924876
840,centralized,ldp,0.05,1,35.9169449233382,0,10,57.46519726316093
845,centralized,ldp,0.05,1,35.9169449233382,0,10,58.87691156036532
850,centralized,ldp,0.05,1,35.9169449233382,0,10,57.858037919568815
855,centralized,ldp,0.05,1,35.9169449233382,0,10,57.4753342645264
860,centralized,ldp,0.05,1,35.9169449233382,0,10,58.37863280156971
865,centralized,ldp,0.05,1,35.9169449233382,0,10,59.13725848955443
870,centralized,ldp,0.05,1,35.9169449233382,0,10,58.238049032684685
875,centralized,ldp,0.05,1,35.9169449233382,0,10,58.821647909261536
880,centralized,ldp,0.05,1,35.9169449233382,0,10,58.919184199473435
885,centralized,ldp,0.05,1,35.9169449233382,0,10,60.137491357381734
890,centralized,ldp,0.05,1,35.9169449233382,0,10,59.515925491422365
895,centralized,ldp,0.05,1,35.9169449233382,0,10,60.2028562687439
900,centralized,ldp,0.05,1,35.9169449233382,0,10,59.3759160394678
905,centralized,ldp,0.05,1,35.9169449233382,0,10,59.03498477239307
910,centralized,ldp,0.05,1,35.9169449233382,0,10,59.81464887107378
915,centralized,ldp,0.05,1,35.9169449233382,0,10,59.79169234639023
920,centralized,ldp,0.05,1,35.9169449233382,0,10,60.0634490304987
925,centralized,ldp,0.05,1,35.9169449233382,0,10,59.97598107935759
930,centralized,ldp,0.05,1,35.9169449233382,0,10,60.5674768363349
935,centralized,ldp,0.05,1,35.9169449233382,0,10,60.38667942087649
940,centralized,ldp,0.05,1,35.9169449233382,0,10,60.72736878590704
945,centralized,ldp,0.05,1,35.9169449233382,0,10,60.5489705647249
950,centralized,ldp,0.05,1,35.9169449233382,0,10,60.1499060446253
955,centralized,ldp,0.05,1,35.9169449233382,0,10,60.095874390430616
960,centralized,ldp,0.05,1,35.9169449233382,0,10,59.03239381113423
965,centralized,ldp,0.05,1,35.9169449233382,0,10,59.79913346544889
970,centralized,ldp,0.05,1,35.9169449233382,0,10,60.29339758533605
975,centralized,ldp,0.05,1,35.9169449233382,0,10,60.00594866711858
980,centralized,ldp,0.05,1,35.9169449233382,0,10,61.95757177769724
985,centralized,ldp,0.05,1,35.9169449233382,0,10,61.85049621909407
990,centralized,ldp,0.05,1,35.9169449233382,0,10,62.48431241100129
995,centralized,ldp,0.05,1,35.9169449233382,0,10,60.84844584327295
1000,centralized,ldp,0.05,1,35.9169449233382,0,10,61.149746435203085
