Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,0.05,2.0,12.69855765739809,0,10,0.0,
0,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.596706086397171
5,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.9183372497558594
10,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.8832254648208618
15,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.930927062034607
20,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2050317764282226
25,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.7843792676925659
30,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.7302589058876038
35,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.8713236689567566
40,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,0.8295393824577332
45,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.0614099740982055
50,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.02392258644104
55,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.1287949323654174
60,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3892389774322509
65,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2751516342163085
70,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4693534612655639
75,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.323578381538391
80,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.8257700443267821
85,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.8811561107635497
90,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7139821290969848
95,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.9346693992614745
100,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.779183530807495
105,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.061987066268921
110,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.0331279277801513
115,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.3522900581359862
120,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.197269582748413
125,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.0750967502593993
130,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.268852376937866
135,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.112740659713745
140,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4236318111419677
145,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4468775033950805
150,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.77272572517395
155,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6312924861907958
160,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4475460290908813
165,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2383949995040893
170,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3934985637664794
175,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.1685823440551757
180,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2151402473449706
185,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.1489537000656127
190,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.1816020250320434
195,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3201284646987914
200,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3346368312835692
205,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6672232389450072
210,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.546844983100891
215,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4913686752319335
220,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.411907696723938
225,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.5150763034820556
230,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2717306852340697
235,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4028738975524901
240,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.788016939163208
245,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.2330864906311034
250,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6816711664199828
255,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.8305479526519775
260,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.9577216148376464
265,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.237885618209839
270,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.175787591934204
275,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,2.029338026046753
280,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.8466484785079955
285,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7780633211135863
290,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7314039707183837
295,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.7940601348876952
300,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.5614316701889037
305,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6381337881088256
310,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.595538282394409
315,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.5909382343292235
320,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4994017124176025
325,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.5841952800750732
330,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.6158091068267821
335,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4311110019683837
340,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3633615016937255
345,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2882890939712524
350,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3472488164901733
355,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.2767942190170287
360,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.279530906677246
365,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.252119207382202
370,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.279707932472229
375,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.271911883354187
380,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.3076226949691772
385,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.350672149658203
390,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.398170256614685
395,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4666768550872802
400,centralized,cdp,0.05,2.0,12.69855765739809,0,10,,1.4727298259735107
