Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,0.5,1,6.349278828699045,0,10,0.0,
0,centralized,cdp,0.5,1,6.349278828699045,0,10,,0.5879894360899925
5,centralized,cdp,0.5,1,6.349278828699045,0,10,,2.4970993041992187
10,centralized,cdp,0.5,1,6.349278828699045,0,10,,5.4028524398803714
15,centralized,cdp,0.5,1,6.349278828699045,0,10,,4.128339195251465
20,centralized,cdp,0.5,1,6.349278828699045,0,10,,6.7629388809204105
25,centralized,cdp,0.5,1,6.349278828699045,0,10,,5.322261238098145
30,centralized,cdp,0.5,1,6.349278828699045,0,10,,4.933232212066651
35,centralized,cdp,0.5,1,6.349278828699045,0,10,,6.904111289978028
40,centralized,cdp,0.5,1,6.349278828699045,0,10,,7.624694728851319
45,centralized,cdp,0.5,1,6.349278828699045,0,10,,6.852076435089112
50,centralized,cdp,0.5,1,6.349278828699045,0,10,,6.072413349151612
55,centralized,cdp,0.5,1,6.349278828699045,0,10,,6.636976623535157
60,centralized,cdp,0.5,1,6.349278828699045,0,10,,8.259064102172852
65,centralized,cdp,0.5,1,6.349278828699045,0,10,,10.802329444885254
70,centralized,cdp,0.5,1,6.349278828699045,0,10,,9.892815971374512
75,centralized,cdp,0.5,1,6.349278828699045,0,10,,10.000460052490235
80,centralized,cdp,0.5,1,6.349278828699045,0,10,,8.971228981018067
85,centralized,cdp,0.5,1,6.349278828699045,0,10,,13.478214645385743
90,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.46013298034668
95,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.452791595458983
100,centralized,cdp,0.5,1,6.349278828699045,0,10,,29.17118682861328
105,centralized,cdp,0.5,1,6.349278828699045,0,10,,26.77030220031738
110,centralized,cdp,0.5,1,6.349278828699045,0,10,,22.301481628417967
115,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.13948860168457
120,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.044006729125975
125,centralized,cdp,0.5,1,6.349278828699045,0,10,,12.146963500976563
130,centralized,cdp,0.5,1,6.349278828699045,0,10,,11.571675682067871
135,centralized,cdp,0.5,1,6.349278828699045,0,10,,10.780845069885254
140,centralized,cdp,0.5,1,6.349278828699045,0,10,,11.463671112060547
145,centralized,cdp,0.5,1,6.349278828699045,0,10,,12.15082015991211
