Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,1,1,6.349278828699045,0,10,0.0,
0,centralized,cdp,1,1,6.349278828699045,0,10,,0.5945788152515888
5,centralized,cdp,1,1,6.349278828699045,0,10,,9.04795207977295
10,centralized,cdp,1,1,6.349278828699045,0,10,,19.70841064453125
15,centralized,cdp,1,1,6.349278828699045,0,10,,14.77568187713623
20,centralized,cdp,1,1,6.349278828699045,0,10,,13.262433433532715
25,centralized,cdp,1,1,6.349278828699045,0,10,,10.182276153564453
30,centralized,cdp,1,1,6.349278828699045,0,10,,11.40165843963623
35,centralized,cdp,1,1,6.349278828699045,0,10,,10.596721076965332
40,centralized,cdp,1,1,6.349278828699045,0,10,,11.42271556854248
45,centralized,cdp,1,1,6.349278828699045,0,10,,11.374058151245118
50,centralized,cdp,1,1,6.349278828699045,0,10,,13.342702293395996
55,centralized,cdp,1,1,6.349278828699045,0,10,,15.022641563415528
60,centralized,cdp,1,1,6.349278828699045,0,10,,18.459484481811522
65,centralized,cdp,1,1,6.349278828699045,0,10,,18.63678970336914
70,centralized,cdp,1,1,6.349278828699045,0,10,,20.247030639648436
75,centralized,cdp,1,1,6.349278828699045,0,10,,20.871431732177733
80,centralized,cdp,1,1,6.349278828699045,0,10,,25.53870620727539
85,centralized,cdp,1,1,6.349278828699045,0,10,,25.91753234863281
90,centralized,cdp,1,1,6.349278828699045,0,10,,26.150411987304686
95,centralized,cdp,1,1,6.349278828699045,0,10,,27.16719284057617
100,centralized,cdp,1,1,6.349278828699045,0,10,,31.140234375
105,centralized,cdp,1,1,6.349278828699045,0,10,,25.159923934936522
110,centralized,cdp,1,1,6.349278828699045,0,10,,23.19239273071289
115,centralized,cdp,1,1,6.349278828699045,0,10,,26.628755950927733
120,centralized,cdp,1,1,6.349278828699045,0,10,,23.998848342895506
125,centralized,cdp,1,1,6.349278828699045,0,10,,22.12160530090332
130,centralized,cdp,1,1,6.349278828699045,0,10,,21.055624389648436
135,centralized,cdp,1,1,6.349278828699045,0,10,,21.00194396972656
140,centralized,cdp,1,1,6.349278828699045,0,10,,19.804321670532225
145,centralized,cdp,1,1,6.349278828699045,0,10,,20.541170501708983
150,centralized,cdp,1,1,6.349278828699045,0,10,,20.9518684387207
155,centralized,cdp,1,1,6.349278828699045,0,10,,19.633495712280272
160,centralized,cdp,1,1,6.349278828699045,0,10,,20.87556686401367
165,centralized,cdp,1,1,6.349278828699045,0,10,,20.833332443237303
170,centralized,cdp,1,1,6.349278828699045,0,10,,20.58256378173828
175,centralized,cdp,1,1,6.349278828699045,0,10,,18.94673957824707
180,centralized,cdp,1,1,6.349278828699045,0,10,,18.360927963256835
185,centralized,cdp,1,1,6.349278828699045,0,10,,16.966072463989256
190,centralized,cdp,1,1,6.349278828699045,0,10,,16.47611083984375
195,centralized,cdp,1,1,6.349278828699045,0,10,,16.80705680847168
200,centralized,cdp,1,1,6.349278828699045,0,10,,16.625788116455077
205,centralized,cdp,1,1,6.349278828699045,0,10,,17.43278923034668
210,centralized,cdp,1,1,6.349278828699045,0,10,,16.97736587524414
215,centralized,cdp,1,1,6.349278828699045,0,10,,16.608770751953124
220,centralized,cdp,1,1,6.349278828699045,0,10,,16.879537963867186
225,centralized,cdp,1,1,6.349278828699045,0,10,,16.902235412597655
230,centralized,cdp,1,1,6.349278828699045,0,10,,17.169659042358397
235,centralized,cdp,1,1,6.349278828699045,0,10,,18.34352912902832
240,centralized,cdp,1,1,6.349278828699045,0,10,,18.431534194946288
245,centralized,cdp,1,1,6.349278828699045,0,10,,18.854193115234374
250,centralized,cdp,1,1,6.349278828699045,0,10,,18.909559631347655
255,centralized,cdp,1,1,6.349278828699045,0,10,,19.21287956237793
260,centralized,cdp,1,1,6.349278828699045,0,10,,20.220817947387694
265,centralized,cdp,1,1,6.349278828699045,0,10,,19.846353912353514
270,centralized,cdp,1,1,6.349278828699045,0,10,,19.351833724975585
275,centralized,cdp,1,1,6.349278828699045,0,10,,19.309170150756835
280,centralized,cdp,1,1,6.349278828699045,0,10,,19.60672798156738
285,centralized,cdp,1,1,6.349278828699045,0,10,,20.538467788696288
290,centralized,cdp,1,1,6.349278828699045,0,10,,20.58983459472656
295,centralized,cdp,1,1,6.349278828699045,0,10,,22.062033081054686
300,centralized,cdp,1,1,6.349278828699045,0,10,,21.954693222045897
305,centralized,cdp,1,1,6.349278828699045,0,10,,22.937839889526366
310,centralized,cdp,1,1,6.349278828699045,0,10,,22.09498825073242
315,centralized,cdp,1,1,6.349278828699045,0,10,,21.912659072875975
320,centralized,cdp,1,1,6.349278828699045,0,10,,22.623041534423827
325,centralized,cdp,1,1,6.349278828699045,0,10,,21.92657127380371
330,centralized,cdp,1,1,6.349278828699045,0,10,,22.08049621582031
335,centralized,cdp,1,1,6.349278828699045,0,10,,22.70096435546875
340,centralized,cdp,1,1,6.349278828699045,0,10,,23.042141342163085
345,centralized,cdp,1,1,6.349278828699045,0,10,,24.708830261230467
350,centralized,cdp,1,1,6.349278828699045,0,10,,23.672880554199217
355,centralized,cdp,1,1,6.349278828699045,0,10,,24.693781280517577
360,centralized,cdp,1,1,6.349278828699045,0,10,,23.40617790222168
365,centralized,cdp,1,1,6.349278828699045,0,10,,24.250299835205077
370,centralized,cdp,1,1,6.349278828699045,0,10,,25.439283752441405
375,centralized,cdp,1,1,6.349278828699045,0,10,,24.46413459777832
380,centralized,cdp,1,1,6.349278828699045,0,10,,26.608297729492186
385,centralized,cdp,1,1,6.349278828699045,0,10,,27.3195556640625
390,centralized,cdp,1,1,6.349278828699045,0,10,,27.358614349365233
395,centralized,cdp,1,1,6.349278828699045,0,10,,29.439203643798827
400,centralized,cdp,1,1,6.349278828699045,0,10,,29.696470642089842
405,centralized,cdp,1,1,6.349278828699045,0,10,,29.171707534790038
410,centralized,cdp,1,1,6.349278828699045,0,10,,26.284160995483397
415,centralized,cdp,1,1,6.349278828699045,0,10,,24.06849899291992
420,centralized,cdp,1,1,6.349278828699045,0,10,,23.073425674438475
425,centralized,cdp,1,1,6.349278828699045,0,10,,22.99235954284668
430,centralized,cdp,1,1,6.349278828699045,0,10,,22.56426086425781
435,centralized,cdp,1,1,6.349278828699045,0,10,,23.493959808349608
440,centralized,cdp,1,1,6.349278828699045,0,10,,23.01159324645996
445,centralized,cdp,1,1,6.349278828699045,0,10,,22.040678405761717
450,centralized,cdp,1,1,6.349278828699045,0,10,,22.652790451049803
455,centralized,cdp,1,1,6.349278828699045,0,10,,23.259020233154295
460,centralized,cdp,1,1,6.349278828699045,0,10,,23.030058288574217
465,centralized,cdp,1,1,6.349278828699045,0,10,,24.078398132324217
470,centralized,cdp,1,1,6.349278828699045,0,10,,23.24324836730957
475,centralized,cdp,1,1,6.349278828699045,0,10,,23.813843154907225
480,centralized,cdp,1,1,6.349278828699045,0,10,,23.875517272949217
485,centralized,cdp,1,1,6.349278828699045,0,10,,23.76787986755371
490,centralized,cdp,1,1,6.349278828699045,0,10,,23.62601509094238
495,centralized,cdp,1,1,6.349278828699045,0,10,,21.79596939086914
500,centralized,cdp,1,1,6.349278828699045,0,10,,22.668539428710936
