Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
-1,centralized,cdp,1,1.5,9.523918243048568,0,10,0.0,
0,centralized,cdp,1,1.5,9.523918243048568,0,10,,0.6058223597705364
5,centralized,cdp,1,1.5,9.523918243048568,0,10,,4.252960109710694
10,centralized,cdp,1,1.5,9.523918243048568,0,10,,26.016128921508788
15,centralized,cdp,1,1.5,9.523918243048568,0,10,,10.969804191589356
20,centralized,cdp,1,1.5,9.523918243048568,0,10,,16.16017379760742
25,centralized,cdp,1,1.5,9.523918243048568,0,10,,17.451286697387694
30,centralized,cdp,1,1.5,9.523918243048568,0,10,,35.585123443603514
35,centralized,cdp,1,1.5,9.523918243048568,0,10,,53.240179443359374
40,centralized,cdp,1,1.5,9.523918243048568,0,10,,45.27631607055664
45,centralized,cdp,1,1.5,9.523918243048568,0,10,,30.338711166381835
50,centralized,cdp,1,1.5,9.523918243048568,0,10,,24.76456298828125
55,centralized,cdp,1,1.5,9.523918243048568,0,10,,30.00332107543945
60,centralized,cdp,1,1.5,9.523918243048568,0,10,,19.99495735168457
65,centralized,cdp,1,1.5,9.523918243048568,0,10,,13.956914329528809
70,centralized,cdp,1,1.5,9.523918243048568,0,10,,17.328960800170897
75,centralized,cdp,1,1.5,9.523918243048568,0,10,,17.33853187561035
80,centralized,cdp,1,1.5,9.523918243048568,0,10,,19.15437545776367
85,centralized,cdp,1,1.5,9.523918243048568,0,10,,20.876629257202147
90,centralized,cdp,1,1.5,9.523918243048568,0,10,,19.034002685546874
95,centralized,cdp,1,1.5,9.523918243048568,0,10,,20.55705871582031
100,centralized,cdp,1,1.5,9.523918243048568,0,10,,23.185120010375975
105,centralized,cdp,1,1.5,9.523918243048568,0,10,,19.1263069152832
110,centralized,cdp,1,1.5,9.523918243048568,0,10,,19.764839553833006
115,centralized,cdp,1,1.5,9.523918243048568,0,10,,28.96760025024414
120,centralized,cdp,1,1.5,9.523918243048568,0,10,,27.40135803222656
125,centralized,cdp,1,1.5,9.523918243048568,0,10,,31.74312057495117
130,centralized,cdp,1,1.5,9.523918243048568,0,10,,40.369032287597655
135,centralized,cdp,1,1.5,9.523918243048568,0,10,,35.341085815429686
140,centralized,cdp,1,1.5,9.523918243048568,0,10,,29.892403030395506
145,centralized,cdp,1,1.5,9.523918243048568,0,10,,27.736761474609374
150,centralized,cdp,1,1.5,9.523918243048568,0,10,,28.040478134155272
155,centralized,cdp,1,1.5,9.523918243048568,0,10,,29.09279670715332
160,centralized,cdp,1,1.5,9.523918243048568,0,10,,33.83996047973633
165,centralized,cdp,1,1.5,9.523918243048568,0,10,,30.542127990722655
